rank	username	minecraft:crafted/minecraft:white_shulker_box
1	Hyp3rion_	1151
2	thewindmillman	509
3	Jackattack53	269
4	Smashic	253
5	Lez_	217
6	jnp_gaming	92
7	Gus2005	85
8	Spacewardharpy7	81
9	m_be9	71
9	luseis	71
11	pintsizedrogue	62
11	Blaiku	62
13	Kowcio_	47
14	500am	42
15	Mahoose	35
16	12Magner05	33
17	Yamdalorian	32
18	Enderxz3	30
19	PlasticOtari	25
20	Snowflowe	23
21	TheSeismicDuck	22
22	AltnumberF4	21
23	mihimihimihi	20
23	Ezekson	20
25	Truckoss	19
26	beeperbeeper5	18
26	legal_tax_evader	18
26	HellsSponge	18
29	Sleepy_Evelyn	17
29	TheSecondLord	17
31	Mr_Byzantine	16
31	noam464	16
31	Onennon	16
31	KingMatthew506	16
35	set67	15
36	mwrty	14
36	p4lp	14
36	lordpipe	14
39	MightyWertu	13
40	Huwulling	11
40	Jimb0nat0r	11
42	EveryonesUncle	10
42	sp00ky_ghost977	10
42	StarCookiees_	10
45	Iagoku	9
45	ImpavidArcher	9
45	GooseWithin	9
45	Manaateee	9
45	Njensen7	9
45	ConnorDanky_	9
45	vandmanden	9
52	hm947	8
52	rarrq	8
52	Winklepicker279	8
55	TheDankPlatypus	7
55	oscminus	7
55	IamCL4SSY	7
55	Akoot_	7
55	Buuck_	7
55	YungMaki	7
61	Merv__	6
61	SaucyDark	6
61	hanaryheatwave	6
61	Skylord_Luke	6
61	groofles	6
61	yulgur1	6
61	masskedman	6
61	Deathkob	6
61	MAns_44	6
61	pixelviolin	6
61	__tomato	6
72	corvidpartyfor6	5
72	wezzzi	5
72	Airem_Core	5
72	Kekoo	5
72	xzvu	5
72	calamariclam_I	5
78	TooManyDuck	4
78	Alteriity	4
78	bloodbiter	4
78	kekhon	4
78	Fullut	4
78	r123moore	4
78	Marbz_	4
78	Rumpletaezer	4
78	Krowuss	4
78	Hoid_the_Roamer	4
78	Bumpy419	4
78	Werbe	4
78	AuroraSkies	4
78	claivin	4
78	Groundler	4
78	miramyu	4
94	SmashingPump	3
94	CoffeeNoir	3
94	Myszoaz	3
94	Blackberry1310	3
94	xPixelRainx	3
94	Awyrlas	3
94	himak1	3
94	surfinggiraffejp	3
94	ReSynced	3
94	_Karmaa	3
94	Hisiste	3
94	_Mythic____	3
94	KeterComet	3
94	EngagedGrub41	3
94	diggydog67	3
109	Groovy_MoonBird	2
109	CLG_Kata	2
109	ECstardust	2
109	ssleepless	2
109	FirsTimeGamingTV	2
109	titanlax	2
109	catandmoose	2
109	poopybh	2
109	thescout7	2
109	gcaisawesome	2
109	Kakolbus	2
109	ApophisNova	2
109	KartivGal	2
109	Mattesco	2
109	cedric72	2
109	Maenara	2
109	NomadicRobin_	2
109	audiocracked	2
109	emreknugrlu	2
109	Tyrannosplart	2
109	NameGenerat0r	2
109	StinkyDiplomat	2
109	Racengan	2
109	ItsJWolff	2
109	Soplight	2
109	fffMike	2
109	TheBananaKat	2
109	Iamthejo	2
109	MyNamaSheff	2
109	Sral7	2
139	Jovaphobic	1
139	Zee_zey	1
139	seanitoo	1
139	Bandito_Roamer	1
139	Crowvens	1
139	MixerDixer	1
139	BadenStayFly	1
139	Paint	1
139	teslawolf38	1
139	Frozil20	1
139	6king6colt6	1
139	Sleek_Storm_721	1
139	Houstonion	1
139	diamondgolem35	1
139	Ryan_GEMS	1
139	ExtraDumb	1
139	TAKrules	1
139	NinjaKnifeKill	1
139	MOSS000	1
139	joethahobo	1
139	Historical_Sand	1
139	Da_Boss_Rani	1
139	Ssor69	1
139	Euclidoris	1
139	Malorn_Aetherius	1
139	Cryptacity	1
139	jushykins	1
139	Rich_Kat	1
139	MrExplorer	1
139	MinttyFressh	1
139	ProfessorBee	1
139	Secret_Canary	1
139	SteveCraftBlocks	1
139	fade_emerge78823	1
139	Inchef	1
139	Xalithia	1
139	LeauVox4921	1
139	SellyZ	1
139	xxPipperDipperxx	1
139	XboxPanda	1
139	prizm_	1
139	Ecplosive	1
139	CollinMH06	1
139	Aavermu	1
139	yheece	1
139	Chromary	1
139	Zythose	1
139	King_Pancake1	1
139	Eczbox	1
139	Hiryu27	1
139	Voxin2K	1
139	Shiirazu	1
139	Olib3ar	1
139	Samificator	1
139	ClemenPine	1
139	lizardfightclub	1
139	True_Clipse	1
139	Lord_Jord	1
139	Hahaa_0	1
139	Inbefour	1
139	Deodorante	1
139	AspenLightVT	1
139	Lutres_	1
139	DemTechAlpha	1
139	Karbl	1
139	1442	1
139	RoBe__	1
139	El_Jalapeno	1
139	Blu3beast	1
139	Xclax101	1
139	fluddd	1
139	SingedBread	1
139	Warlord324	1
139	Yahir091	1
139	geekbird	1
139	iSammael	1
139	WyngGoy	1
139	OG_Songsee	1
139	teakings	1
139	Cocoamallows	1
139	Razzgriz	1
139	ElectricDragon81	1
139	Eraxa	1
139	07shiny	1
139	SvenskaHugo	1
139	Spenduh	1
139	Fizznut909	1
139	stellarjay	1
139	Dogcorn69420	1
139	MilleGrug	1
139	striker90333	1
139	Steelynan	1
139	Eczbek	1
139	Skippeh	1
139	FelixPSY375	1
139	little_dUki	1
139	HesDemonPants	1
139	Powowowow	1
139	Zoeyfortnite	1
139	JayToe	1
139	TheWickedBird	1
