rank	username	minecraft:crafted/minecraft:dripstone_block
1	noam464	7623
2	pintsizedrogue	5592
3	Hyp3rion_	5504
4	Lez_	4392
5	Pumpkin_P_Patch	3233
6	TheSecondLord	3097
7	j5ylim	2623
8	Yamdalorian	1641
9	Krowuss	1472
10	Smashic	1264
11	beeperbeeper5	846
12	EMC_	768
13	Kowcio_	704
14	luseis	695
15	mymayowasgone	664
16	EcksD	641
17	oscminus	596
18	cuddlyMonster	512
19	Alteriity	404
20	AlexxO_o	320
21	Merv__	316
21	pixelviolin	316
23	Huwulling	256
24	himak1	128
25	Steelynan	120
26	Apollo_993	96
27	calamariclam_I	83
28	Elastiq	72
29	Mr_Byzantine	66
30	shineh10	64
30	Kakolbus	64
30	Jackattack53	64
30	Buuck_	64
30	wwwwinnebagoooo	64
35	PlasticOtari	42
36	Ryker	32
36	Skylord_Luke	32
38	PaperCanvas	21
39	Enderxz3	16
39	00000000-0000-0000-0009-01ff0c3e5e4f	16
41	ECstardust	12
41	CharlieButt	12
43	Manaateee	7
44	thebaddruid	6
44	FormulaNewt3627	6
46	diamondgolem35	2
47	StinkyDiplomat	1
