rank	username	minecraft:crafted/minecraft:andesite_stairs
1	Huwulling	1032
2	PazinGaming	860
3	skitzxo	451
4	ImpavidArcher	399
5	Zythose	256
6	Legendosh	220
7	Meatlaugh	208
8	Enderxz3	207
9	PlasticOtari	203
10	Manaateee	200
11	Ezekson	168
12	joethahobo	148
12	CattSoup	148
14	gcaisawesome	136
15	ExtraDumb	116
15	r123moore	116
17	Fuad_R	112
18	luseis	108
19	Lord_Jord	101
20	Blackberry1310	100
21	Mahoose	96
22	ApophisNova	88
22	MyNamaSheff	88
24	weabis	84
25	pintsizedrogue	72
25	Kakolbus	72
27	Quotary	66
28	Alphanzt99	64
28	Chaotic1s	64
30	ReyTheLegend	61
31	powercas_gamer	60
32	Jackattack53	56
33	Mr_Byzantine	54
34	TheShyPig	52
35	himak1	48
35	mihimihimihi	48
35	07shiny	48
35	ZoomieZoomie	48
39	nocturne78	44
39	The_slideV3	44
41	valkam13	40
41	Dakar_	40
41	Spacewardharpy7	40
41	Sheldor097	40
45	Akoot_	39
46	CharlieButt	36
46	FishyBoy3811	36
46	Yamdalorian	36
49	xxPipperDipperxx	33
50	ECstardust	32
50	Cryptacity	32
50	m_be9	32
50	fragrantmonke444	32
54	Nicserso	25
55	imcombxt	24
55	andy_rex	24
55	Biites	24
58	shadowthemonkey	22
59	oreee	20
59	Tiberonus	20
59	GLLogan2	20
59	Boogaloo242	20
59	Gzrdy	20
59	SamZombie	20
59	spellmre	20
59	Deerfoot	20
67	CalebDHawk	19
68	_Huge_Male_	17
69	RoskobiOne	16
69	diamondgolem35	16
69	ryan521	16
69	skroobiez	16
69	TheSecondLord	16
69	Di_infiri	16
69	ogoa	16
69	Jamstroxian	16
69	pixelviolin	16
69	SpacesickPrism	16
69	The_SlideV5	16
80	k_ce	12
80	Fullut	12
80	Mariopreeet	12
80	NotMeanttoChange	12
80	Inchef	12
80	IamCL4SSY	12
80	blackeemperor	12
80	Decaying_Lotus	12
80	djancak	12
89	Merv__	10
90	SmashingPump	8
90	shineh10	8
90	TinMaster	8
90	kekhon	8
90	SteveCraftBlocks	8
90	leaf26	8
90	LibertyMutual	8
90	avalan64	8
90	kirametal	8
90	SvenskaHugo	8
90	annoyingenderman	8
101	KeruNatsema	7
102	Kowcio_	6
102	Soplight	6
104	RebytreGT	5
105	SaltineDream	4
105	Groovy_MoonBird	4
105	EMC_	4
105	La_Conne	4
105	maliraspberry	4
105	T045RTY	4
105	Natty	4
105	lotarp	4
105	Lez_	4
105	IWorkAtIkea	4
105	beeperbeeper5	4
105	teqilas	4
105	rarrq	4
105	Malorn_Aetherius	4
105	TowenPL	4
105	4774	4
105	Scathra	4
105	Boipl	4
105	SourPapaSmurf	4
105	Felenov	4
105	ElderRifken	4
105	DarlaMeow	4
105	BumbleBeever	4
105	Buuck_	4
105	iSammael	4
105	MakeHistory157	4
105	Eraxa	4
105	miramyu	4
105	tartanboy	4
105	taengoos	4
105	smogfrog	4
105	Kiki_Majiki	4
137	Apollo_993	3
137	Alteriity	3
139	lorywithay	2
139	QuiCreans	2
139	500am	2
142	Sleek_Storm_721	1
142	Raltemoxitonica	1
