rank	username	minecraft:crafted/minecraft:bucket
1	noam464	110763
2	Hyp3rion_	32390
3	Jackattack53	9935
4	HellsSponge	9117
5	EcksD	8373
6	joethahobo	5117
7	PigDab	2197
8	gcaisawesome	1875
9	thewindmillman	1782
10	Lez_	1624
11	PlasticOtari	1610
12	Yamdalorian	1383
13	eitanzaki	1199
14	Blaiku	1055
15	Alteriity	993
16	Marbz_	985
17	SpacesickPrism	790
18	Spacewardharpy7	679
19	Werbe	654
20	pintsizedrogue	653
21	hanaryheatwave	591
22	Huwulling	574
23	Enderxz3	517
24	Di_infiri	508
25	500am	507
26	Segotep999	473
27	Mewar	441
28	YungMaki	409
29	non089	330
30	Cyanide4Kitten	327
31	ECstardust	310
32	StarCookiees_	309
33	Blackberry1310	286
34	lordpipe	278
35	xxPipperDipperxx	275
36	MilleGrug	273
37	m_be9	271
38	censorsheep	257
39	EMC_	246
40	cedric72	237
41	Akoot_	217
42	skroobiez	216
43	beeperbeeper5	213
44	Blu3beast	199
44	TheWickedBird	199
46	luseis	197
47	Mahoose	193
48	SaphLaseer	192
48	l_James_	192
50	Synthoum	188
51	T045RTY	177
52	Jimb0nat0r	175
53	Ryker	164
54	El_Jalapeno	162
55	AssFullaCum	160
56	MJCABOOSE69	148
57	Iamthejo	145
58	TheBananaKat	142
59	Manaateee	139
60	PhantomsGhost_	137
60	kekhon	137
60	Kyrum2169	137
63	2Stout	134
64	fw3xy74	131
64	Kowcio_	131
66	Skippeh	130
67	Smashic	128
68	teslawolf38	125
68	calamariclam_I	125
70	thescout7	124
70	Legendosh	124
72	ZaneABrain	120
72	oscminus	120
74	rarrq	119
75	Kakolbus	118
76	TheShyPig	116
77	Fuad_R	115
78	EngagedGrub41	107
78	jnp_gaming	107
80	Nicserso	103
81	eviltunix	102
81	mihimihimihi	102
83	EdGalbraith	100
84	SmashingPump	99
84	ImpavidArcher	99
86	k_ce	98
87	Fuhrer_Teemo	95
88	U_Mos_	94
89	NameGenerat0r	93
90	FreakGenius	92
91	Frozil20	91
91	Historical_Sand	91
91	Bumpy419	91
91	Ezekson	91
95	Quotary	89
96	Mr_Byzantine	88
96	Soplight	88
98	ScootOfBoot	85
98	skitzxo	85
100	GooseWithin	84
101	Xalithia	83
101	AspenLightVT	83
103	tuckerdoodle	79
103	Krowuss	79
103	ApophisNova	79
103	MyNamaSheff	79
107	12Magner05	74
107	Mattesco	74
107	__tomato	74
107	Steelynan	74
111	_Virify_	73
111	Nicky19	73
113	Fullut	72
113	Winklepicker279	72
113	Lord_Jord	72
116	diamondgolem35	71
116	TheSecondLord	71
116	fffMike	71
119	Zoeyfortnite	66
120	ROY4LE	65
120	vandmanden	65
122	Arteriana	64
122	h2p_emrld	64
124	mariominejedi	63
124	Hiryu27	63
126	F_Uhre	62
127	legal_tax_evader	61
127	Njensen7	61
129	Franco093	60
129	BobDeBouwer1337	60
131	bloodbiter	58
131	excelsionprime	58
131	r123moore	58
131	Spenduh	58
135	catandmoose	57
135	prizm_	57
137	301851	56
138	mwrty	54
138	BlankityMcBlank	54
140	TheThomas69	53
140	obzii	53
142	Raspberry_Sodas	52
143	Awyrlas	51
144	_Dean_123	50
144	groofles	50
146	ssleepless	49
147	ARandomHedge	48
147	The_slideV3	48
149	Kamflame	47
149	fragrantmonke444	47
149	Mr_Froxy	47
149	PaperCanvas	47
153	StinkyDiplomat	46
153	_i_ERROR_i_	46
153	TechnoNinja64	46
156	Sleepy_Evelyn	44
156	set67	44
156	Maenara	44
159	q_wq	43
159	Vorlice	43
159	MakeHistory157	43
162	CLG_Kata	42
162	Zythose	42
164	Jovaphobic	41
164	6king6colt6	41
166	Merv__	40
166	claivin	40
168	Myszoaz	39
169	ActualPatbaf	38
169	SuperPooch06	38
171	Groovy_MoonBird	37
171	SaucyDark	37
171	Boipl	37
174	MAns_44	36
174	hermmm_	36
176	RoskobiOne	35
176	bigstankyy	35
176	TheDankPlatypus	35
176	CollinMH06	35
176	zToasty69z	35
176	EveryonesUncle	35
176	Racengan	35
183	ougstur	34
183	masskedman	34
183	ConnorDanky_	34
186	MoistMicrowave	33
186	drunkeeez	33
188	Xclax101	32
188	SvenskaHugo	32
188	SammiWolfGirl	32
188	KingMatthew506	32
192	Hyugo	31
192	Ryan_GEMS	31
192	corvidpartyfor6	31
192	Tyrannosplart	31
192	MightyWertu	31
192	Airem_Core	31
192	annebolyn	31
199	hm947	30
199	RebelAndroid	30
199	4774	30
199	Biites	30
203	ProfessorBee	29
203	CarltheCuck	29
203	Silvo614	29
203	Gus2005	29
203	RadarHz	29
208	dimondking777	28
208	PazinGaming	28
208	MyNameIsJobo	28
208	RebytreGT	28
212	Cowison	27
212	Valoth	27
212	_Karmaa	27
215	KarlKaek	26
215	FirsTimeGamingTV	26
215	Chromary	26
215	Skylord_Luke	26
215	aec9	26
215	sp00ky_ghost977	26
215	trexgb	26
222	gaziter10	25
222	HUNTERmaun	25
222	Olib3ar	25
222	TheKingK_	25
222	PortlyPete69	25
222	Sral7	25
228	Inchef	24
228	Dakar_	24
228	Druid95	24
228	djancak	24
228	_3Stump_	24
233	Jorrdi	23
233	Kouridragon	23
233	lizardfightclub	23
233	QueenShuvi	23
237	TheBiggestFeller	22
237	Jimi7hits	22
237	shrimp_flips	22
237	Groundler	22
237	JohnPrice	22
242	myaccountwasgone	21
242	CoffeeNoir	21
242	akap47	21
242	Malorn_Aetherius	21
242	Secret_Canary	21
242	XboxPanda	21
242	Studyhallsaver	21
242	Warlord324	21
242	TheOuterCore	21
242	AltnumberF4	21
252	Apollo_993	20
252	picardred	20
252	Zaridey	20
252	fallingemma	20
252	crashomon	20
252	AJplaysMC_	20
252	Onennon	20
252	KeruNatsema	20
252	Hahaa_0	20
252	Lutres_	20
252	SingedBread	20
252	Eraxa	20
264	powercas_gamer	19
264	lotarp	19
264	Masssonnn	19
264	KingEgg1	19
264	DarlaMeow	19
264	Quincannon	19
264	IAmTheWalrus910	19
264	Optiprimus	19
264	Powowowow	19
264	UrbanPlanningEx	19
264	2blox_	19
264	00000000-0000-0000-0009-01ff0c3e5e4f	19
276	Comma__	18
276	_Nuf	18
276	poopybh	18
276	pumpfonzo	18
276	Arceus1975	18
276	Voxin2K	18
276	HoldThatPee	18
276	Wowful	18
276	NomadicRobin_	18
276	audiocracked	18
276	AstreaTSS	18
276	DASH_X7	18
276	Nnuma	18
276	SkateboardR6	18
276	Nargotah	18
291	j5ylim	17
291	heysushii	17
291	squigglybones	17
291	Niklas20114552	17
291	Creativebuilder2	17
291	Killercatty78	17
291	Gregward_Smith	17
291	Z3braYTIL	17
291	emrekn	17
291	Covalents	17
