rank	username	minecraft:crafted/minecraft:red_shulker_box
1	thewindmillman	409
2	Hyp3rion_	174
3	Jackattack53	70
4	HellsSponge	62
5	pintsizedrogue	44
6	Kowcio_	32
6	Legendosh	32
8	500am	28
9	Ailmast	27
10	TheSecondLord	23
10	NameGenerat0r	23
12	mwrty	19
13	Jiminie	18
13	jnp_gaming	18
15	Awyrlas	15
16	PlasticOtari	13
17	YungMaki	12
18	fluddd	11
18	ayamefag	11
18	Smoke____	11
21	lordpipe	10
21	Eraxa	10
21	oxfordschool	10
24	awesomeoneme	9
24	Zythose	9
24	Akoot_	9
24	Airem_Core	9
24	Ezekson	9
29	Mahoose	8
29	Fullut	8
29	masskedman	8
29	MightyWertu	8
29	MilleGrug	8
29	Eczbek	8
35	Deathkob	7
35	Soap_Bender	7
35	Spacewardharpy7	7
35	Enderslayerxz3	7
39	SaucyDark	6
39	kekhon	6
39	Bumpy419	6
39	binman420	6
39	Quincannon	6
39	claivin	6
39	Hisiste	6
46	Merv__	5
46	rarrq	5
46	gabriels543	5
46	AuroraSkies	5
50	eitanzaki	4
50	Lez_	4
50	Swexti	4
50	m_be9	4
50	set67	4
50	r123moore	4
50	Di_infiri	4
50	PigDab	4
50	SkateboardR6	4
50	sp00ky_ghost977	4
50	kinas45y5	4
61	6king6colt6	3
61	ImpavidArcher	3
61	TooManyDuck	3
61	Blackberry1310	3
61	thescout7	3
61	Inchef	3
61	surfinggiraffejp	3
61	eviltunix	3
61	2Stout	3
61	gcaisawesome	3
61	noam464	3
61	TheDankPlatypus	3
61	Zaridey	3
61	Chromary	3
61	MangoTheFish	3
61	Skylord_Luke	3
61	TheShyPig	3
61	Maenara	3
61	EveryonesUncle	3
61	lillips	3
61	chipklip	3
61	Blu3beast	3
61	Nycteus_	3
61	Blaiku	3
61	Groundler	3
61	Spenduh	3
61	stahouo	3
61	stellarjay	3
61	GlitchyPlate810	3
61	fffMike	3
91	Lepthymo	2
91	Bandito_Roamer	2
91	RoskobiOne	2
