rank	username	minecraft:crafted/minecraft:cooked_porkchop
1	thewindmillman	8896
2	Frozil20	5636
3	Soplight	3786
4	Eraxa	2877
5	Merv__	2850
6	kekhon	2623
7	Werbe	1758
8	joethahobo	1515
9	MineMaster0012	1447
10	Enderxz3	1192
11	Tyrannosplart	1154
12	FelixPSY375	1000
13	RebelAndroid	760
14	EngagedGrub41	739
15	Rumpletaezer	511
16	beeperbeeper5	485
17	ooga47	426
18	Historical_Sand	405
19	RadarHz	367
20	TheBananaKat	324
21	set67	323
22	John6970	315
23	Akoot_	313
24	Windo_licker	291
25	Bandito_Roamer	269
26	corvidpartyfor6	256
27	vandmanden	250
28	Lez_	240
28	geekbird	240
30	ROY4LE	236
31	BlancoFlaco	231
32	sufjanlover	218
33	TheShyPig	212
34	cichy096	200
35	MattieHD	197
35	NormanFetus	197
37	El_Jalapeno	191
38	rarrq	173
39	Airem_Core	170
40	HolyVenom	160
40	TheEnderMan548	160
40	starbits140	160
40	PlasticOtari	160
44	6king6colt6	154
45	Natty	153
46	__TheNorseMan__	140
46	DanTheBuilderino	140
48	jspwn	135
49	m_be9	134
50	Manaateee	131
51	Hyp3rion_	126
51	wobn	126
53	SyK7	124
53	Decaying_Lotus	124
55	ratglock	123
56	alanbleachdemon	117
57	mobunni	116
58	OfficerAnvil	114
59	AdmiralSmoke	109
60	ThePoliteG	103
60	WYFYoyo	103
62	EcksD	101
63	Lord_Jord	99
64	SpicyMeatballs	96
65	eviltunix	91
65	OrewaSora	91
67	ItsAki_	90
68	Inchef	89
69	KingMatthew506	88
70	Kubelz	86
71	Blazebit	85
71	Karetoko	85
71	Kubeusz2010	85
74	YungMaki	84
75	PhantomsGhost_	80
75	_stets	80
75	eitanzaki	80
75	Jamstroxian	80
75	Zoeyfortnite	80
80	Gemstuff	79
81	zmpeg	77
82	pappaberg	76
83	yulgur1	74
83	voiding_	74
83	MusicMe1005	74
86	Toriankel	73
87	TheSecondLord	72
88	trixterrx	71
89	Erased_Identity	69
90	Comma__	68
91	DeeDeeThonk	67
92	Typadopoulos	66
93	maxdacatv2	64
93	pintsizedrogue	64
93	Mowelan	64
93	jacxhadow	64
97	Touched_Bread	63
97	tartanboy	63
99	Blackberry1310	62
99	Bolete	62
99	Gryglu583	62
102	Enigma0251	61
103	ZaneABrain	60
103	limeloaf	60
103	krutas2000	60
106	Xclax101	59
107	Prodiginus	58
108	TooManyDuck	57
108	lunathelemon	57
108	Jiminbub	57
111	Bruh77	56
111	YahooScreen9000	56
111	DennyKai	56
114	CoffeeNoir	55
115	Project_MKBRD	54
116	00000000-0000-0000-0009-01ff0c3e5e4f	53
117	dopplexd	52
117	stellarjay	52
119	Ninzyyy	51
119	Winklepicker279	51
119	Ze_BaronKrigler	51
119	_3Stump_	51
119	trexgb	51
124	GingerNeutron	50
124	Doom_melon	50
124	smogfrog	50
127	FujiBS	49
128	diggydog67	47
129	500am	46
130	Paintz	45
130	AssFullaCum	45
132	EvenMina	44
133	GoofyBread	43
133	DarlaMeow	43
133	brofrickcheaters	43
136	crying_wolf_13	42
136	djancak	42
136	ConnorDanky_	42
136	Powowowow	42
140	Prismyst	40
140	VanJosh	40
142	KarlKaek	39
142	CollinMH06	39
142	skelctal	39
142	Vetral1	39
142	DarkS0L	39
147	The11thDoctor	38
147	SingedBread	38
149	DermeinUser	37
149	kars0n	37
149	Bumpy419	37
152	FirsTimeGamingTV	36
152	Legendosh	36
154	Myrlewen	35
154	AJplaysMC_	35
156	Lutres_	34
156	jaimshae	34
158	Kegradigm	33
158	SnowyAvi	33
158	AvaRosey	33
158	Trioxide	33
162	Ryan_GEMS	32
162	jimintyy	32
162	reiwai	32
162	bee_gorl	32
162	PixelatedBoss	32
167	NatalieTW	31
167	Harotio	31
167	Slinkyy7071	31
167	_Cloverbelle_	31
167	wezzzi	31
167	SUN_DREAM	31
167	Soffbord	31
174	chimpmunker	30
174	Onennon	30
174	theofiel	30
177	nut_e	29
177	Inconvenionce	29
179	TheFlfthHorseman	28
179	SDMNAEK	28
179	LHQing	28
179	smarticuno	28
179	Cattoh	28
179	KlausVonStiglitz	28
179	radioactv_jelly	28
179	Skippeh	28
187	TerraVl	27
187	Bloo2406	27
187	Deguns123	27
190	dudcreeper	26
190	RatatJuice	26
190	gaziter10	26
190	ccormacs	26
190	Skylord_Luke	26
190	Goat_Man512	26
196	SPUDonSTEROIDS	25
196	whoaluv	25
196	Donutt	25
196	babycamm	25
200	PhantomBionic	24
200	Giannism	24
200	PaperCanvas	24
200	Joestra	24
200	Cyntrical	24
200	SkateboardR6	24
206	funeralhome	23
206	Pofen	23
206	picardred	23
206	burbankbuilder28	23
206	HoldThatPee	23
206	Lord_Zacler	23
206	Vorlice	23
206	_Meow_Mix	23
206	monky_irl	23
215	Batoser	22
215	k_ce	22
215	thescout7	22
215	TheDankPlatypus	22
215	Marbz_	22
215	SullivanNephew	22
221	Wooptey	21
221	_Dean_123	21
221	mimbo1211	21
221	Kryktal	21
221	Kim_Jong_eel	21
221	NebulousBadger	21
221	FadedSpade82	21
228	diminub	20
228	jpoxman	20
228	Shazzyling	20
228	Eon_57	20
232	Swalt	19
232	boog4loo	19
232	SharpDev	19
232	JitteryJared2	19
232	dendydoom	19
232	privatemeekly	19
232	DrGrant	19
239	xExpresso	18
239	intropass	18
239	ItzYaBoiPicard	18
239	Mouse74	18
239	ReverendSmith	18
239	KeruNatsema	18
239	XxCookiequeenxX	18
239	Methalox1	18
239	Nargotah	18
248	MsBeeMan	17
248	I_Am_Mushkin	17
248	HollieDaNugget	17
248	Master_Kol	17
248	Nope______	17
248	JustAWill_	17
248	RohnJosin	17
248	Living_Storms	17
248	Hisiste	17
248	bloomkieren	17
248	PlzNoBM	17
248	anbbang	17
260	gary_	16
260	Jovaphobic	16
260	Matemax	16
260	Gundam_Steven	16
260	tuckerdoodle	16
260	Dakota100	16
260	MrExplorer	16
260	TheThomas69	16
260	moonman169	16
260	kiluaemc	16
260	PartyPhoenix	16
260	BlighterSupreme	16
260	Moetis	16
273	soundad	15
273	Goleam	15
273	lumpump	15
273	swag_bro2004	15
273	GOOBERGABE04	15
273	AnnieBathory	15
273	Mweems	15
273	LordSpeed37	15
273	Kowcio_	15
273	Solfahrin	15
273	AppleJacks	15
273	Oxygen16	15
285	MintyTuna	14
285	SidorAlex	14
285	StanceTB	14
285	PegLegPete93	14
285	SeverianOfUrth	14
285	ricekrispies69	14
285	toj__	14
285	jewbacaman	14
285	IamCL4SSY	14
285	Dakar_	14
285	MAns_44	14
285	RedcatVII	14
285	iGotUrHost	14
285	VilsSwag	14
285	wwwwinnebagoooo	14
285	OPTOMA_KING	14
