rank	username	minecraft:crafted/minecraft:bubble_coral_block
1	PhantomsGhost_	8
1	Mahoose	8
1	Snowflowe	8
1	oscminus	8
1	XxCookiequeenxX	8
1	Manaateee	8
1	claivin	8
1	robonya_	8
9	Kakolbus	4
