rank	username	minecraft:crafted/minecraft:nether_brick_fence
1	joethahobo	8304
2	Frozil20	3746
3	El_Jalapeno	1986
4	Cowison	1878
5	BobDeBouwer1337	1525
6	thewindmillman	804
7	PigDab	576
8	Skippeh	480
9	SmashingPump	384
10	Creativebuilder2	378
11	beeperbeeper5	360
12	TheShyPig	354
13	Soplight	306
14	RoboTramp7865	288
15	eitanzaki	266
16	Incinere	132
17	burbankbuilder28	114
18	Mahoose	108
19	rarrq	96
19	Eraxa	96
21	mihimihimihi	94
22	Bandito_Roamer	90
23	underscore_2	81
24	T045RTY	78
24	luseis	78
26	r123moore	66
27	Merv__	60
28	m_be9	54
28	EngagedGrub41	54
30	yulgur1	42
30	TheEnderMan548	42
30	anbbang	42
30	EcksD	42
34	Reamdin	36
34	Smoke____	36
36	TheBiggestFeller	30
36	Kowcio_	30
38	SvenskaHugo	24
39	pintsizedrogue	18
39	Kynigito	18
39	starbits140	18
39	__tomato	18
43	dimondking777	12
43	12Magner05	12
43	fr_ser	12
43	Freeman666	12
43	Zythose	12
43	Fuad_R	12
43	Sral7	12
50	Alteriity	6
50	CoffeeNoir	6
50	Blackberry1310	6
50	500am	6
50	lorpus	6
50	Inchef	6
50	MyNameIsJobo	6
50	Di_infiri	6
50	Arceus1975	6
50	Snowflowe	6
50	JitteryJared2	6
50	Rebytre	6
50	ADEXTV	6
50	RoofTyler	6
50	PlasticOtari	6
