rank	username	minecraft:crafted/minecraft:wooden_shovel
1	Spacewardharpy7	574
2	beeperbeeper5	72
3	Awyrlas	61
4	fluddd	60
5	xxPipperDipperxx	54
6	Merv__	40
7	Winston_Ingram	34
8	PlzNoBM	33
9	Enderslayerxz3	32
10	ogoa	30
11	Soplight	24
12	noam464	23
13	Nach0Bear	20
13	EcksDofficial	20
15	claivin	18
16	SkateboardR6	16
16	djancak	16
18	Huic_ostiarius	15
18	E775	15
20	Typadopoulos	14
21	Smaldo	12
21	Smoke____	12
23	Soul_Atreus	11
24	Zythose	9
24	Racengan	9
26	weezygator	7
26	KG1999	7
28	Nab3rius	6
28	Mewar	6
30	KomputerDude	5
30	BreadFruggis	5
30	2Stout	5
30	_Boipl_	5
30	KermitTheKripple	5
30	LordSpeed37	5
30	Moetis	5
37	Louiis123	4
37	ItzYaBoiPicard	4
37	El_Jalapeno	4
37	TheRoboSock	4
41	RoskobiOne	3
41	Mowelan	3
41	awesomeoneme	3
41	FetteMutter	3
41	sarahlynn00	3
41	Cattoh	3
41	ese_wn_po	3
41	yoyoYoloMonke	3
41	bruh072	3
41	Ze_BaronKrigler	3
41	BlankityMcBlank	3
41	Deguns123	3
41	Kferno	3
41	Legendosh	3
41	Powowowow	3
56	SDW_Insanity	2
56	domon41c_2	2
56	teslawolf38	2
56	6king6colt6	2
56	KarlKaek	2
56	AES784	2
56	yx80	2
56	Ozixar	2
56	Khelvoryk	2
56	Auseawesome	2
56	bloodbiter	2
56	12Magner05	2
56	MedSeaArch	2
56	ProfessorBee	2
56	egglapras	2
56	Robby_Cream	2
56	Irko	2
56	Dirt158357	2
56	TylerDupree	2
56	DermeinUser	2
56	Minc_	2
56	FennYuzuna	2
56	BlueZabu	2
56	swag_bro2004	2
56	CranialBlowout	2
56	NarwhalTaco	2
56	Parcc	2
56	BlossomOwO	2
56	DeeDeeThonk	2
56	Drewen24	2
56	Ajax6	2
56	Russiancat1	2
56	_Karmaa	2
56	alddd	2
56	Freak_Genius	2
56	ThatMan_Dave	2
56	Paigefly	2
56	HeyGoat	2
56	Razzgriz	2
56	SSytex_X	2
56	SammiWolfGirl	2
56	DoctorMagnus	2
56	Eczbek	2
56	Calbo_	2
56	Deliriohm	2
101	TheRedHeadGirl	1
101	RosaDoesMC	1
101	Lepthymo	1
101	cnicholspgh	1
101	BUBBA_KHAN	1
101	Jovaphobic	1
101	pintsizedrogue	1
101	doopiyo	1
101	Groovy_MoonBird	1
101	elicobnoah	1
101	ThatStupidSheep	1
101	nataliecool	1
101	MayorEden	1
101	zqw10k	1
101	The_Great_Jake	1
101	not_a_duck_23	1
101	NibPicker	1
101	shineh10	1
101	Mocha_Mug	1
101	Sleek_Storm_721	1
101	pokemonfreak45	1
101	Houstonion	1
101	baboonlord400	1
101	ImpavidArcher	1
101	CryoInferno_	1
101	hm947	1
101	Paleshield	1
101	eitanzaki	1
101	Franco093	1
101	Batman922	1
101	lotarp	1
101	DementedTOAD	1
101	Kuragari_	1
101	Simon_Lowell	1
101	AceOfCaydes	1
101	Arteriana	1
101	ThePoonGayer	1
101	TrashPixel	1
101	Azassu	1
101	Butternutsquatch	1
101	dimitri0s	1
101	PBandChocolate	1
101	Alphanzt99	1
101	tramizu	1
101	Blackberry1310	1
101	Under1	1
101	shdesolt	1
101	ellygaytor	1
101	firesgal3116	1
101	Albertalo	1
101	StanceTB	1
101	kekhon	1
101	DarkDescent2392	1
101	cwin95	1
101	jjsadler	1
101	rpmm	1
101	NikoTheGreater	1
101	Sloths_Ender	1
101	lilsay	1
101	CarbonatedCola	1
101	Lauratheking	1
101	Z3braYTIL	1
101	Nisanth	1
101	bustinmyeyes	1
101	UnderKat	1
101	Mariopreeet	1
101	IforgotCS_Source	1
101	Sandov	1
101	LikeableSausage	1
101	Ithaca_GC	1
101	Hoshi	1
101	actour	1
101	hcb238	1
101	encraft05	1
101	hayybails	1
101	Stealthlens	1
101	ABitOddish	1
101	Kubelz	1
101	RustyKedel	1
101	Purplehere	1
101	Exarah	1
101	breadbowlgamer	1
101	Peeing	1
101	Theo34	1
101	thebluehippo	1
101	ReverendSmith	1
101	BigMoneyH	1
