rank	username	minecraft:crafted/minecraft:spruce_chest_boat
1	DinoDoctor_	4
2	Enderslayerxz3	3
3	Mahoose	1
3	joethahobo	1
3	_Boipl_	1
3	Fuad_R	1
3	PlasticOtari	1
