rank	username	minecraft:crafted/minecraft:golden_apple
1	Hyp3rion_	12181
2	Lez_	2044
3	Frozil20	1902
4	NomadicRobin_	1843
5	eitanzaki	1640
6	beeperbeeper5	1227
7	pintsizedrogue	916
8	Jackattack53	866
9	_i_ERROR_i_	685
10	Racengan	453
11	lorpus	411
12	Di_infiri	405
13	Yamdalorian	399
14	noam464	357
15	PigDab	318
16	FiguraDei	281
17	EcksD	268
18	SmashingPump	253
19	Historical_Sand	249
20	gcaisawesome	246
21	F_Uhre	202
22	TheSecondLord	201
23	AltnumberF4	181
24	fw3xy74	169
25	HellsSponge	159
26	Kakolbus	154
27	hanaryheatwave	151
28	xzvu	144
29	joethahobo	137
30	oscminus	132
30	ConnorDanky_	132
32	EdGalbraith	128
32	EngagedGrub41	128
34	Tyrannosplart	122
35	RebelAndroid	116
36	MilleGrug	114
37	Marbz_	108
38	EMC_	107
39	Hisiste	102
40	diamondgolem35	96
41	MattieHD	93
42	teslawolf38	92
43	MinttyFressh	90
44	Kyrum2169	89
44	jnp_gaming	89
46	kekhon	73
47	Smashic	72
48	pixelviolin	67
49	luseis	66
49	Blaiku	66
51	wezzzi	65
52	Spacewardharpy7	64
53	The_SlideV5	63
54	Lord_Jord	62
55	Bumpy419	59
56	Inchef	55
57	FreakGenius	54
58	excelsionprime	53
58	MankMaestro	53
58	DarlaMeow	53
58	DanTheBuilderino	53
62	Blackberry1310	52
62	thescout7	52
64	Enderxz3	50
65	6king6colt6	48
66	THEKINGLyric10	46
66	Pumpkin_P_Patch	46
68	Jimb0nat0r	45
69	xxPipperDipperxx	44
70	Manaateee	43
71	EveryonesUncle	42
72	hm947	39
72	Ryker	39
74	Segotep999	38
75	Fullbit_	37
75	monky_irl	37
77	QuiCreans	36
78	Druid95	35
79	CoffeeNoir	33
79	TheShyPig	33
79	IamCL4SSY	33
82	WyngGoy	32
83	_Virify_	31
83	Cocoamallows	31
83	Skippeh	31
86	Ezekson	30
87	UncreativeArtist	29
87	Groundler	29
89	claivin	28
90	emrekn	26
91	ProfessorBee	25
