rank	username	minecraft:crafted/minecraft:bell
1	Soplight	53
2	HellsSponge	51
3	Drlzyy	50
4	eitanzaki	42
5	Merv__	29
6	emrekn	23
7	beeperbeeper5	22
8	pixelviolin	20
9	joethahobo	13
9	Fullut	13
11	Skylord_Luke	12
12	Werbe	11
12	AssEatrAndLicker	11
14	mimbo1211	8
15	TheShyPig	7
15	Smoke____	7
17	pintsizedrogue	6
17	himak1	6
17	Hermanni__	6
20	Blackberry1310	5
20	PigDab	5
20	WyngGoy	5
23	diggydog67	4
24	Dan_Scha	3
24	Freak_Genius	3
24	Lowjinx	3
27	_stets	2
27	youhjjhhhjj	2
27	BobDeBouwer1337	2
27	noam464	2
27	Jiminie	2
27	Racengan	2
27	sebastiensaborio	2
27	KingMatthew506	2
35	Hpdinosaur	1
35	ivorico	1
35	ShedJr_	1
35	Historical_Sand	1
35	Vizzoid	1
35	zorin123	1
35	Kamflame10	1
35	ROY4LE	1
35	CharlieButt	1
35	SHAOBADMAN	1
35	mariominejedi	1
35	ooga47	1
35	BRRRN179	1
35	MonitorLizards	1
35	Lord_Jord	1
35	DarlaMeow	1
35	IAmTheWalrus910	1
35	sp00ky_ghost977	1
35	Eraxa	1
35	YungMaki	1
35	FelixPSY375	1
35	JayToe	1
