rank	username	minecraft:crafted/minecraft:spire_armor_trim_smithing_template
1	beeperbeeper5	12
2	MattieHD	10
3	Enderxz3	8
4	Apollo_993	4
4	hanaryheatwave	4
4	StarCookiees_	4
4	Myrulfan3	4
4	Jimb0nat0r	4
9	CLG_Kata	2
9	ECstardust	2
9	noam464	2
9	Jackattack53	2
9	oscminus	2
9	Mattesco	2
9	pixelviolin	2
