rank	username	minecraft:crafted/minecraft:polished_blackstone_stairs
1	fragrantmonke444	1904
2	xxPipperDipperxx	1071
3	Lez_	996
4	FishyBoy3811	783
5	Mattesco	598
6	FreakGenius	572
7	lordpipe	465
8	blackeemperor	436
9	teslawolf38	408
10	Jimb0nat0r	401
11	PlasticOtari	399
12	joethahobo	384
13	Huwulling	280
14	Jackattack53	236
15	burbankbuilder28	212
16	r123moore	192
17	PigDab	176
18	Hyp3rion_	160
19	Deathkob	124
20	RebytreGT	106
21	YungMaki	105
22	Yamdalorian	104
23	set67	100
24	EcksD	96
24	Biites	96
26	XboxPanda	92
27	k_ce	84
28	bl1ss0	76
29	Lutres_	71
30	PazinGaming	64
30	crashomon	64
30	hanaryheatwave	64
30	weabis	64
34	Optiprimus	60
35	Spacewardharpy7	56
36	pixelviolin	53
37	Jekyll	48
38	MattieHD	46
39	MAns_44	44
40	Cowison	40
40	NieToksikpl	40
40	NameGenerat0r	40
43	ECstardust	32
43	diamondgolem35	32
43	bloodbiter	32
46	4774	28
46	fffMike	28
48	Alteriity	27
49	MSK__	24
49	ApophisNova	24
49	Kowcio_	24
49	BeardBois	24
49	MyNamaSheff	24
54	ImpavidArcher	23
55	pintsizedrogue	21
56	Minimize501	20
56	noam464	20
56	Druid95	20
59	EveryonesUncle	17
60	SkateboardR6	16
61	HellsSponge	13
62	BobDeBouwer1337	12
62	kekhon	12
62	TheWildMateo	12
62	Fuad_R	12
62	TheTommyGun63	12
62	Winston_Ingram	12
62	Legendosh	12
69	Mr_Byzantine	11
69	Mahoose	11
71	Arceus1975	10
71	TheKingK_	10
73	pretty_pink_reno	9
74	Merv__	8
74	Chromary	8
74	Eraxa	8
77	_Razaria	6
78	Olib3ar	5
78	luseis	5
80	Ryan_GEMS	4
80	MinttyFressh	4
80	Smashic	4
80	drunkeeez	4
80	U_Mos_	4
80	ScootOfBoot	4
80	TheShyPig	4
80	Manaateee	4
88	Kubeusz2010	3
89	TheSecondLord	2
89	Soplight	2
91	oscminus	1
