rank	username	minecraft:crafted/minecraft:end_crystal
1	Smoke____	1746
2	xxPipperDipperxx	704
3	Mahoose	94
4	pintsizedrogue	81
5	noam464	72
6	binman420	64
6	YungMaki	64
6	jnp_gaming	64
9	xzvu	63
10	claivin	51
11	RealGroot	49
12	alderban107	47
13	audiocracked	42
14	Cocoamallows	41
15	Agent108	39
16	Tyrannosplart	38
17	PlasticOtari	37
18	PhantomsGhost_	33
19	mwrty	31
19	Inchef	31
21	vandmanden	28
22	eitanzaki	27
23	TheSecondLord	26
24	SingedBread	24
25	beeperbeeper5	23
25	33sudo	23
27	Lez_	22
28	Bumpy419	20
29	rarrq	18
29	HellsSponge	18
29	h2p_emrld	18
32	Hyp3rion_	16
33	KomputerDude	12
33	fluddd	12
33	MightyWertu	12
33	stavgod	12
33	UCP_TheKingK	12
38	RoofTyler	9
39	gabriels543	8
39	TheShyPig	8
39	Rasmanden	8
39	masskedman	8
39	NameGenerat0r	8
39	censorsheep	8
39	AssFullaCum	8
39	Winston_Ingram	8
39	Enderxz3	8
48	Groovy_MoonBird	6
48	joethahobo	6
50	Blu3beast	5
51	AgressiveEggdog	4
51	bigstankyy	4
51	TooManyDuck	4
51	Historical_Sand	4
51	FirsTimeGamingTV	4
51	Vizzoid	4
51	m_be9	4
51	kekhon	4
51	Secret_Canary	4
51	Fullut	4
51	ROY4LE	4
51	Zaridey	4
51	thewindmillman	4
51	Rebytre	4
51	Onennon	4
51	Maenara	4
51	lillips	4
51	lcvezra	4
69	Kyrum2169	3
69	Skippeh	3
69	Ezekson	3
72	Antek_Kicek	2
72	Xclax101	2
72	Eraxa	2
75	Frozil20	1
75	ImpavidArcher	1
75	XboxPanda	1
75	moist_jellyfish	1
75	SaintJosie	1
75	Soplight	1
75	Iamthejo	1
