rank	username	minecraft:crafted/minecraft:diorite_stairs
1	EMC_	372
2	Werbe	272
3	Meatlaugh	258
4	Spacewardharpy7	256
5	purpolepickle	145
6	Mattesco	140
7	r123moore	120
8	eviltunix	116
8	benediktine1	116
10	Jokerman369	100
11	MrExplorer	92
12	Mahoose	89
13	QuiCreans	80
14	Mr_Byzantine	68
14	joethahobo	68
16	Xalithia	61
17	noam464	60
18	nocturne78	44
19	H0UNDFRMH3LL	40
19	Studyhallsaver	40
19	trexgb	40
22	Sheldor097	36
23	ElderRifken	24
24	ImpavidArcher	23
25	FreakGenius	22
26	GLLogan2	20
26	eiC_	20
26	ApophisNova	20
26	Inbefour	20
26	Racengan	20
26	MyNamaSheff	20
32	sleepdrifter_	16
32	xolstoi	16
34	oreee	12
34	tramizu	12
34	Maenara	12
34	avalan64	12
34	Barlycorn	12
34	Decaying_Lotus	12
40	MyNameIsDakar	10
41	RoofTyler	8
41	Soplight	8
41	h2p_emrld	8
44	beeperbeeper5	6
45	PlasticOtari	5
46	lotarp	4
46	Ardennes	4
46	kekhon	4
46	Jackattack53	4
46	SamZombie	4
46	_Boipl_	4
46	luseis	4
46	fluddd	4
46	iSammael	4
46	SvenskaHugo	4
46	starbits140	4
46	tartanboy	4
46	bladeefan2009	4
46	diggydog67	4
60	Lord_Lollo	1
