rank	username	minecraft:crafted/minecraft:experience_bottle
1	Hyp3rion_	30530
2	pintsizedrogue	23599
3	Blaiku	8685
4	noam464	7103
5	knarian	2678
6	_Mythic____	2485
7	Krowuss	2225
8	gcaisawesome	2189
9	IlkeCookes_	2033
10	Eraxa	1740
10	TechnoNinja64	1740
12	emreknugrlu	1392
13	Apollo_993	1184
14	THEKINGLyric10	1182
15	eitanzaki	1116
16	Moss_2006	1031
17	Pumpkin_P_Patch	952
18	Yamdalorian	880
19	hanaryheatwave	768
20	TheEnderMan548	757
21	SteveCraftBlocks	672
22	m_be9	550
23	MyMawgDonaldsGon	494
24	pixelviolin	407
25	EngagedGrub41	372
26	Jackattack53	324
27	Frozil20	320
28	PigDab	312
29	TheSecondLord	297
30	Snowflowe	296
31	Awyrlas	289
32	MakeHistory157	248
33	luseis	180
34	ConnorDanky_	170
35	robertsnose	160
36	BeastyBoi954911	152
37	Kowcio_	144
38	Mahoose	122
39	oscminus	96
39	Felenov	96
39	claivin	96
42	NATE_the_HALO	93
43	Inchef	84
44	KomputerDude	78
45	Bumpy419	74
46	Lez_	72
46	thewindmillman	72
46	vandmanden	72
49	Buuck_	68
50	bloodbiter	63
51	CLG_Kata	60
52	MattieHD	49
53	RebelAndroid	48
53	Di_infiri	48
53	SkateboardR6	48
56	diamondgolem35	46
57	Olib3ar	37
58	Historical_Sand	36
58	lorpus	36
58	fw3xy	36
58	masskedman	36
58	HellsSponge	36
58	TheBananaKat	36
58	Iamthejo	36
65	starbits140	30
66	joethahobo	29
67	Juansinmiedo18	28
68	Nicserso	27
69	Groovy_MoonBird	24
69	T045RTY	24
69	ZaneABrain	24
69	500am	24
69	U_Mos_	24
69	XxCookiequeenxX	24
69	Quaintster	24
69	SammiWolfGirl	24
69	Dogcorn69420	24
78	Sleek_Storm_721	22
79	FreakGenius	21
79	Segotep999	21
81	Kamflame	19
82	craaaash	18
83	teslawolf38	12
83	ECstardust	12
83	BodaciousCake	12
83	SyntheticSurgeon	12
83	Sleepy_Evelyn	12
83	kekhon	12
83	Werbe	12
83	F_Uhre	12
83	MonitorLizards	12
83	Luminad3	12
83	Inbefour	12
83	Blockbard_	12
83	Spacewardharpy7	12
83	doublemaki	12
83	MrShojo	12
83	TheKingK_	12
83	MilleGrug	12
83	FelixPSY375	12
83	Spaghettatron	12
102	DemTechAlpha	11
103	NameGenerat0r	8
104	beeperbeeper5	7
104	Onennon	7
106	Kynigito	6
106	Jamstroxian	6
106	Soplight	6
106	xzvu	6
106	smogfrogg	6
111	Hpdinosaur	5
112	lorywithay	3
112	mimbo1211	3
112	Azmodan_246	3
112	HeraclesOGU	3
112	Twighst	3
117	PhantomsGhost_	2
117	CharlieButt	2
119	Merv__	1
119	titanlax	1
119	Studio4x32	1
119	ApophisNova	1
119	Russiancat1	1
119	El_Jalapeno	1
119	censorsheep	1
119	KingMatthew506	1
119	MyNamaSheff	1
