rank	username	minecraft:crafted/minecraft:birch_hanging_sign
1	Spaghettatron	36
2	Niklas20114552	24
3	Merv__	12
4	Morgf	6
4	TheSecondLord	6
4	noam464	6
4	Samificator	6
4	Buuck_	6
4	pixelviolin	6
4	Legendosh	6
