rank	username	minecraft:crafted/minecraft:jungle_slab
1	joethahobo	8802
2	Hyp3rion_	4030
3	thewindmillman	3300
4	Prodiginus	2964
5	Smoke____	2262
6	EveryonesUncle	2244
7	Windo_licker	1860
8	YungMaki	1602
9	cedric72	1584
10	Steelynan	1568
11	PigDab	1386
12	Soplight	1376
13	the_fireminer	1188
14	BronkerBrum	1170
15	kekhon	1116
16	T045RTY	968
17	soundad	918
18	Werbe	894
19	beeperbeeper5	892
20	IWorkAtIkea	822
21	binman420	798
22	Nycteus_	732
23	The_slideV3	714
24	SvenskaHugo	676
25	titanlax	660
26	Winklepicker279	558
27	DemTechAlpha	498
28	_Virify_	492
29	kinas45y5	488
30	himak1	480
31	oxfordschool	474
32	PlasticOtari	468
33	Blackberry1310	450
34	Mahoose	438
35	ItsDeltaMC	396
36	Airem_Core	372
37	thescout7	360
38	Merv__	324
38	coobert42	324
40	EngagedGrub41	318
41	tsitrawhy	312
42	Kim_Jong_eel	282
43	MyNameIsJobo	270
44	CoffeeNoir	264
45	_Nuf	258
46	Marbz_	252
47	Bandito_Roamer	240
48	Kowcio_	222
49	KingMatthew506	216
50	Deathkob	210
51	El_Jalapeno	198
52	Spacewardharpy7	186
53	Enderslayerxz3	174
54	MovingFish7	172
55	eitanzaki	162
56	rarrq	144
57	nocturne78	132
57	Cryptacity	132
57	RefluxRatio	132
57	ese_wn_po	132
61	KarlKaek	126
61	Ecplosive	126
61	gabriels543	126
61	Di_infiri	126
61	fffMike	126
66	Awyrlas	124
67	ImpavidArcher	120
67	drunkeeez	120
69	Da_Boss_Rani	108
69	Inbefour	108
69	CookTheChef3	108
69	jnp_gaming	108
73	Factoroni	99
74	SaucyDark	96
74	Onennon	96
74	Lord_Jord	96
77	Maenara	94
78	Kubelz	90
79	Mattesco	88
80	TheShyPig	84
81	Lez_	78
81	gcaisawesome	78
83	H72l9w	72
83	SokaOtaku	72
83	Deerfoot	72
86	pintsizedrogue	66
86	Kamflame10	66
86	SvenskaAlvar	66
89	Cavetorch	64
90	Mr_Byzantine	54
90	Azorathum	54
90	LotusProject	54
90	Stiar	54
90	fluddd	54
90	07shiny	54
90	Quotary	54
97	natajimi	48
97	Toiton	48
97	IronicUwU1	48
100	Akoot_	42
100	Freak_Genius	42
102	dimondking777	36
102	ItsColin11	36
102	Fullut	36
102	PegLegPete93	36
102	Xalithia	36
102	ooga47	36
102	Racengan	36
102	SammiWolfGirl	36
110	RebelAndroid	30
110	InfernalMound	30
110	mwrty	30
110	TheWildMateo	30
110	PortlyPete69	30
110	ItsJunoIGuess	30
110	Njensen7	30
117	TheSecondLord	24
117	MattieHD	24
117	breadbowlgamer	24
117	Jiminie	24
117	Blu3beast	24
117	_TCARREIRA_	24
117	SpacesickPrism	24
124	AuroraValkyrie	18
124	Swexti	18
124	Typadopoulos	18
124	iSammael	18
124	Kukkelikuk	18
129	capn__crunch	15
129	HellsSponge	15
131	teslawolf38	12
131	Frozil20	12
131	Cats_Fly	12
131	Comma__	12
131	benediktine1	12
131	RobotMinion101	12
131	_Bguette_	12
131	MightyWertu	12
131	Groundler	12
131	stahouo	12
131	OfficerAnvil	12
131	KASAN420	12
143	Drlzyy	6
143	Incinere	6
143	Reamdin	6
143	Historical_Sand	6
143	Ssor69	6
143	Notta	6
143	500am	6
143	4774	6
143	xxPipperDipperxx	6
143	Bazongoman	6
143	CarryLine	6
143	JESS_THE_RERE	6
143	Hermanni__	6
143	JayToe	6
