rank	username	minecraft:crafted/minecraft:cracked_stone_bricks
1	gcaisawesome	1408
2	TheShyPig	901
3	Kakolbus	832
4	ogoa	572
5	NomadicRobin_	536
6	PlzNoBM	531
7	Tommhh	523
8	MissCeleste7	512
9	kekhon	424
10	07shiny	415
11	The_Quack_Dealer	406
12	Werbe	373
13	LotusProject	320
14	SvenskaHugo	272
15	Malorn_Aetherius	260
16	kyouma777	256
17	Eraxa	248
18	_Karmaa	224
19	Xalithia	212
20	leaf26	192
20	Shogunite	192
20	Frozil12	192
23	FishyBoy3811	182
24	Ecplosive	180
25	KingMatthew506	166
26	Inchef	162
27	shyshyannne	149
27	Winklepicker279	149
29	LilyNova	131
30	cedric72	129
31	Notta	128
31	DSYisDizzy	128
31	claivin	128
31	PlasticOtari	128
35	Lukeee33	123
36	Auseawesome	113
36	Typadopoulos	113
38	Jiminie	108
39	_Dean_123	105
39	burbankbuilder28	105
41	CalebDHawk	98
42	Smoke____	95
43	Onennon	86
44	r123moore	85
45	Bandito_Roamer	78
46	Kowcio_	74
47	diamondgolem35	64
47	Hpdinosaur	64
47	Skylord_Luke	64
47	seramalen	64
47	Maenara	64
47	TheSeismicDuck	64
47	XxCookiequeenxX	64
54	Enderslayerxz3	59
55	killmeiamtraitor	54
56	Sleek_Storm_721	52
57	xxPipperDipperxx	46
58	master9067	36
59	PortlyPete69	35
60	Rich_Kat	34
61	beeperbeeper5	32
61	TheSecondLord	32
63	thewindmillman	27
64	Blackberry1310	22
65	CrookedKaptain	20
66	annoyingenderman	18
67	MyNameIsJobo	16
67	oxfordschool	16
69	MrExplorer	8
69	_Bguette_	8
69	Lowjinx	8
72	iTurbo	7
73	toj__	5
74	LibertyMutual	2
74	Toiton	2
74	Kubeusz2010	2
77	TheBiggestFeller	1
77	MOSS000	1
77	Fuhrer_Teemo	1
77	Ze_BaronKrigler	1
77	jcool7	1
77	kinas45y5	1
