rank	username	minecraft:crafted/minecraft:purpur_block
1	Smoke____	13476
2	MilleGrug	8084
3	m_be9	6160
4	PigDab	4996
5	beeperbeeper5	4896
6	lordpipe	4145
7	TheEnderman548	2232
8	Nicserso	1716
9	vandmanden	1176
10	brofrickcheaters	1108
11	TheShyPig	1076
12	noam464	768
13	Spacewardharpy7	744
14	ProfessorBee	672
15	chipklip	656
16	BlancoFlaco	608
17	sp00ky_ghost977	432
18	El_Jalapeno	320
19	SellyZ	316
20	ZaneABrain	192
21	claivin	164
22	MakeHistory157	160
23	Hpdinosaur	144
24	RoboTramp7865	128
24	AltnumberF4	128
26	6king6colt6	88
27	pintsizedrogue	84
28	MyNameIsJobo	60
29	set67	44
30	Dusk_95	36
31	ooga47	16
32	NameGenerat0r	12
