rank	username	minecraft:crafted/minecraft:oak_stairs
1	TheShyPig	2260
2	EveryonesUncle	2176
3	rarrq	1840
4	_Dean_123	1576
5	Mahoose	1380
6	_Karmaa	1252
7	Skylord_Luke	1064
8	Blackberry1310	1000
9	Paleshield	860
10	Ozixar	776
11	CoffeeNoir	744
12	Soap_Bender	730
13	youhjjhhhjj	720
13	StinkyDiplomat	720
15	crying_wolf_13	712
16	fkGrim	708
17	TheFlfthHorseman	680
18	500am	668
19	2Stout	648
20	Mr_Byzantine	644
20	Ezekson	644
22	MyNameIsJobo	636
23	xo_Marren_xo	628
24	Steelynan	572
25	Frozil12	568
26	HellsSponge	566
27	CharlieButt	548
28	Zaridey	524
29	Akoot_	520
30	beeperbeeper5	496
31	oxfordschool	488
32	Ssor69	484
33	kekhon	480
34	EMC_	468
34	hcb238	468
36	Groovy_MoonBird	460
37	stickwhiskers	456
38	Lez_	440
39	Lord_Jord	432
40	Incinere	424
41	DarkS0L	420
42	TableTim	416
43	El_Jalapeno	412
44	Luigipunch989	396
45	DepressedCubic	384
46	Megarboh	380
47	tsitrawhy	376
48	Jovaphobic	372
48	_KuruKuru	372
50	Bumpy419	368
51	FroggoTheDoggo	364
51	Arceus1975	364
53	ProfessorBee	360
54	TheDankPlatypus	352
55	Merv__	348
56	TheThomas69	340
57	KingMatthew506	328
58	Winklepicker279	324
58	Rumpletaezer	324
60	joethahobo	316
60	Racengan	316
62	Gingayy	312
63	Smoke____	296
64	ApophisNova	284
64	MyNamaSheff	284
66	MixerDixer	280
67	slkiey	276
67	gcaisawesome	276
67	Warlord324	276
70	ExtraDumb	268
71	Zoeyfortnite	264
72	iSammael	256
73	Kyrum2169	248
74	CSG_Haru	244
75	PlasticOtari	240
76	ROY4LE	236
77	Nekomin0	232
77	CattSoup	232
79	XboxPanda	228
80	KarlKaek	224
80	Soplight	224
80	Calbo_	224
83	SammiWolfGirl	222
84	DaviusMaximoose	220
84	Skippeh	220
84	Quotary	220
87	Kakolbus	216
88	epiksk8erduck	212
88	Drewen24	212
88	Fildyr	212
91	Norrhede	208
92	6king6colt6	204
92	thewindmillman	204
94	PhantomsGhost_	200
94	Z3braYTIL	200
94	PigDab	200
97	Jiminie	196
98	Inbefour	192
98	__tomato	192
100	PegLegPete93	188
100	EcksD	188
102	T045RTY	184
102	_Crimson_Legate	184
102	TechnoNinja64	184
105	Kowcio_	176
106	titanlax	168
106	xxPipperDipperxx	168
106	ori0le	168
109	Malorn_Aetherius	164
109	Legendosh	164
111	Haadrada	162
112	pintsizedrogue	160
112	Mowelan	160
112	Sebaschan__	160
112	CarryLine	160
112	bloomkieren	160
112	00000000-0000-0000-0009-01f898304150	160
118	UCP_TheKingK	156
118	OnlyOfficial	156
120	m_be9	152
120	toj__	152
120	mediumBev	152
123	StanceTB	148
123	LuceImaginary	148
123	little_dUki	148
126	Sharkbyte0	140
126	MonitorLizards	140
126	Meatlaugh	140
126	Shin69	140
126	jnp_gaming	140
131	TheSecondLord	132
131	xof_on_microwave	132
133	seanitoo	128
133	dopplexd	128
133	JollyDroopy52	128
133	PlzNoBM	128
133	EcksDofficial	128
138	tuckerdoodle	124
138	Stynxy	124
140	Di_infiri	120
140	Werbe	120
140	ProfessorDiaper	120
140	RealDelver	120
144	NebulousBadger	116
144	SvenskaHugo	116
144	AltnumberF4	116
147	ccormacs	112
147	r123moore	112
147	RodSerlingCringe	112
147	07shiny	112
151	bloodbiter	108
151	Nicky_H225	108
151	ToastedGamingYT	108
151	Kijiki	108
151	CalebDHawk	108
151	CrazyPotater	108
157	bigstankyy	104
157	Smaldo	104
159	Cowison	100
159	Ev0luti0nz	100
159	SlayerCrypto	100
159	BreadBacon	100
163	Skyler_Diablo	96
163	ImpavidArcher	96
163	WarHammer3	96
163	FirsTimeGamingTV	96
163	chlorinex	96
163	jacxhadow	96
163	MinerDec	96
163	groofles	96
163	AuroraSkies	96
172	MrExplorer	92
172	breadbowlgamer	92
172	MAns_44	92
172	Th6masss	92
172	Yoaty	92
172	anbbang	92
178	Louiis123	88
178	Travasaur	88
178	prizm_	88
178	Syropatathe	88
178	Freak_Genius	88
183	Atroxes	84
183	picardred	84
183	Ravenbie	84
183	MinttyFressh	84
183	NoxxxxiS	84
183	AlphaWolfPlaysMC	84
183	LordSpeed37	84
183	MissCeleste7	84
183	mountaingirl311	84
183	00000000-0000-0000-0009-01fbab7ea71d	84
193	Spaghettatron	80
193	livingdaydreams	80
193	beeleg	80
193	LeauVox4921	80
193	Solar_Power	80
193	Rebytre	80
193	Onennon	80
193	wrinkledpiglet	80
193	parodypatient	80
193	IsabellasOF	80
193	Fuhrer_Teemo	80
193	Matorz	80
193	al626win52	80
193	Deliriohm	80
207	Smashic	76
207	Inchef	76
209	Myszoaz	72
209	Bolete	72
209	Marbz_	72
209	Snowflowe	72
209	LetsDoItLive	72
209	YungMaki	72
215	SaltineDream	68
215	HollieDaNugget	68
215	Sleepy_Time_	68
215	set67	68
215	purpolepickle	68
215	Ch4osDoom64	68
215	fw3xywashere	68
215	Xclax101	68
215	BumbleBeever	68
215	Cocoamallows	68
225	Jalvajar	64
225	ewsophie	64
225	Freeman666	64
225	Kryktal	64
225	MrMonster61	64
225	Eczbek	64
231	Matemaks2137	60
231	ShedJr_	60
231	nocturne78	60
231	SteveCraftBlocks	60
231	ogoa	60
236	zMarciano	56
236	MindyDooWho	56
236	Stiar	56
236	Jackattack53	56
236	wirelesstree	56
236	Blu3beast	56
236	Barlycorn	56
236	__Auspicious	56
236	sp00ky_ghost977	56
236	Moetis	56
246	KingFaenor	52
246	Susscra	52
246	Fullut	52
246	CrookedKaptain	52
246	burbankbuilder28	52
246	Jiminbub	52
246	MightyWertu	52
246	TheEnderman548	52
254	BleachMyEyes	48
254	ratglock	48
254	TowenPL	48
254	brickman241	48
254	_naturell	48
254	sammidk	48
254	proxivitoid	48
254	ZoharGoldMine	48
254	kyouma777	48
254	OfficerAnvil	48
264	Jackster03	44
264	TheDiamondCG	44
264	CyrusIsTired	44
264	UncreativeArtist	44
264	Karetoko	44
264	Gmoney390	44
264	SkateboardR6	44
264	yatsuta	44
264	Ernnous	44
264	Rainaldus	44
264	Kateesaur	44
275	Mistruth	42
276	Yatitay	40
276	jpoxman	40
276	Sleek_Storm_721	40
276	ColeSnyder	40
276	Lukeee33	40
276	BodaciousCake	40
276	Prodiginus	40
276	Jokerman369	40
276	mrnosetackle	40
276	HypixelForums	40
276	maddog2014	40
276	Mobstr	40
276	Avrelion	40
276	Rocketlaunchers	40
276	seramalen	40
276	KeruNatsema	40
276	ElderRifken	40
276	Gryglu583	40
276	Quinasin	40
276	Eraxa	40
296	Mimiir345	38
297	DrGrant	36
297	The_slideV3	36
297	lordpipe	36
297	xorompole	36
