rank	username	minecraft:crafted/minecraft:beetroot_soup
1	bloodbiter	241
2	Blackberry1310	75
3	kekhon	66
4	pintsizedrogue	36
5	Yamdalorian	33
6	Bad_At_Names_Guy	14
6	beeperbeeper5	14
8	Akoot_	13
9	CalebDHawk	12
10	IAmTheWalrus910	11
11	KarlKaek	10
12	cedric72	9
13	12Magner05	8
13	Quaintster	8
15	xxPipperDipperxx	7
15	El_Jalapeno	7
17	rarrq	6
17	Njensen7	6
19	Tiberonus	4
19	Cortexia	4
19	_witch_craft_	4
19	PegLegPete93	4
19	LibertyMutual	4
19	Fillapulated	4
25	UncreativeArtist	3
25	_Cloverbelle_	3
25	thgrocks	3
25	E775	3
25	alanbleachdemon	3
30	Natty	2
30	royal_2	2
30	ROY4LE	2
30	noam464	2
30	Kubelz	2
30	sp00ky_ghost977	2
30	Jimb0nat0r	2
37	SaltineDream	1
37	ECstardust	1
37	Sleek_Storm_721	1
37	Hpdinosaur	1
37	Mahoose	1
37	FirsTimeGamingTV	1
37	roxycherry	1
37	Malorn_Aetherius	1
37	corvidpartyfor6	1
37	Fullut	1
37	excelsionprime	1
37	mwrty	1
37	TakeThis2UrGrave	1
37	Jackattack53	1
37	thewindmillman	1
37	oscminus	1
37	Mattesco	1
37	Manaateee	1
37	HellsSponge	1
37	claivin	1
37	Xclax101	1
37	Spacewardharpy7	1
37	AvaRosey	1
37	Eraxa	1
37	pixelviolin	1
37	Kowcio_	1
37	miramyu	1
37	Deguns123	1
37	Enderxz3	1
