rank	username	minecraft:crafted/minecraft:light_blue_dye
1	thewindmillman	100354
2	noam464	14058
3	oxfordschool	9294
4	Hyp3rion_	6274
5	joethahobo	5143
6	Marbz_	2550
7	beeperbeeper5	2394
8	lordpipe	2002
9	DarlaMeow	1920
10	PlasticOtari	1836
11	MilleGrug	1672
12	YungMaki	1652
13	Di_infiri	1330
14	PeteO1995	1242
15	Ezekson	1219
16	Frozil12	1202
17	_Dean_123	1201
18	NomadicRobin_	1152
19	Njensen7	1038
20	HellsSponge	788
21	cedric72	768
21	Spacewardharpy7	768
23	Rumpletaezer	752
24	TheShyPig	708
25	Mahoose	705
26	RoboTramp7865	650
27	pintsizedrogue	634
28	rarrq	628
29	Snowflowe	596
30	Steelynan	564
31	kekhon	550
32	TechnoNinja64	534
33	Jackattack53	522
34	Groovy_MoonBird	510
35	Werbe	463
36	Hiryu27	458
37	RebelAndroid	453
38	500am	441
39	TheSecondLord	423
40	XxCookiequeenxX	384
41	12Magner05	353
42	diamondgolem35	344
43	Smoke____	338
44	Merv__	304
45	claivin	302
46	Arceus1975	272
47	_Karmaa	264
48	Legendosh	258
49	T045RTY	256
49	WET_WET_WET	256
51	EveryonesUncle	248
52	Blackberry1310	240
53	xxPipperDipperxx	232
54	Zythose	222
55	Zaridey	210
56	audiocracked	208
57	sp00ky_ghost977	197
58	Inbefour	193
59	ssleepless	192
59	MakeHistory157	192
61	Onennon	190
62	Bumpy419	188
63	EMC_	180
63	Lord_Jord	180
65	eitanzaki	174
65	EcksDofficial	174
67	titanlax	166
68	NameGenerat0r	164
69	Paintz	162
70	Kowcio_	148
71	CoffeeNoir	136
72	MyNameIsJobo	134
73	ProbablyNick	128
73	egglapras	128
73	Motsaro	128
73	r123moore	128
77	lcvezra	118
78	Akoot_	113
79	RoskobiOne	110
79	jnp_gaming	110
81	stellarjay	94
82	Sral7	92
83	El_Jalapeno	85
84	Jiminie	84
85	Iagoku	82
86	Mattesco	78
87	Comma__	76
87	Eraxa	76
89	TheTrueClipse	74
89	Optiprimus	74
91	ProfessorBee	72
91	Hoid_the_Roamer	72
93	_Virify_	68
94	LexMakesHistory	66
94	Nicserso	66
96	Swexti	64
96	UrbanPlanner1978	64
98	Enderslayerxz3	63
99	mwrty	62
99	The_slideV3	62
101	Chromary	61
101	AssFullaCum	61
103	GLLogan2	60
103	CrateOfBoxes	60
105	KartivGal	58
106	Drlzyy	54
106	valkam13	54
108	Wooptey	53
109	LilLizardWizard	52
110	m_be9	51
111	fluddd	46
112	Vellu21	44
113	BlankityMcBlank	42
114	Blamphe	40
115	LordSpeed37	39
116	epiksk8erduck	38
117	Paint	36
117	33sudo	36
119	Natty	34
119	Reamdin	34
119	Miko_Fullbuster	34
122	BlancoFlaco	33
123	M_Patata	32
123	MasterNueve	32
125	AuroraValkyrie	30
126	RadarHz	29
127	Kouridragon	28
128	Bandito_Roamer	26
128	ImpavidArcher	26
128	hm947	26
128	Maenara	26
128	the__Reaper4999	26
133	tobinwilliams	25
133	Groundler	25
135	Mr_Byzantine	24
135	bigstankyy	24
135	Notta	24
135	Winston_Ingram	24
135	Quotary	24
140	Fullut	23
140	Xclax101	23
142	Kokeech	22
142	KingMatthew506	22
144	Menthas	20
144	SaucyDark	20
144	ShedJr_	20
144	SellyZ	20
148	jushykins	18
149	ExtraDumb	17
149	MattieHD	17
151	dopplexd	16
151	SoftSix	16
151	theonlymagikarp	16
151	Doom_melon	16
151	Jamstroxian	16
151	SSytex_X	16
157	MovingFish7	15
158	Da_Boss_Rani	14
158	Skomo	14
158	FishyBoy3811	14
158	Dusk_95	14
162	TheBiggestFeller	13
163	thescout7	12
163	Kakolbus	12
163	SokaOtaku	12
163	wezzzi	12
163	EcksD	12
168	chipklip	11
168	Nekomin0	11
170	Incinere	10
170	burbankbuilder28	10
170	Drewen24	10
170	geekbird	10
170	mobunni	10
170	OnlyOfficial	10
170	Powowowow	10
177	Batoser	9
178	rats_life	8
178	Myszoaz	8
178	MSK__	8
178	slkiey	8
178	Winklepicker279	8
178	Leyna3	8
178	Freak_Genius	8
178	bloomkieren	8
178	_TCARREIRA_	8
178	alderban107	8
178	Tristankill	8
189	Deathkob	7
189	JayToe	7
191	BobDeBouwer1337	6
191	Awyrlas	6
191	pappaberg	6
191	ApophisNova	6
191	YahooScreen9000	6
191	masskedman	6
191	Jiminbub	6
191	Blu3beast	6
191	SingedBread	6
191	MyNamaSheff	6
201	Scathra	5
201	Xalithia	5
201	TheEnderman548	5
204	soundad	4
204	teslawolf38	4
204	H72l9w	4
204	Historical_Sand	4
204	Avrelion	4
204	mariominejedi	4
204	SuperPooch06	4
204	Donutt	4
204	Rebytre	4
204	RodSerlingCringe	4
204	Sky_light_KING	4
204	censorsheep	4
204	SvenskaHugo	4
204	Kyrum2169	4
204	laron58	4
204	diggydog67	4
220	The11thDoctor	3
220	Roosje69	3
220	NormanFetus	3
220	PabloGonza02	3
220	pixelviolin	3
220	smogfrog	3
226	PhantomsGhost_	2
226	Jorrdi	2
226	strongman951753	2
226	dabloons	2
226	Houstonion	2
226	Ryker	2
226	livingdaydreams	2
226	ewsophie	2
226	youhjjhhhjj	2
226	TAKrules	2
226	oreee	2
226	TheFlfthHorseman	2
226	cowgirlkasia	2
226	CliffEmAll	2
226	Cryptacity	2
226	bloodbiter	2
226	Ardennes	2
226	Megarboh	2
226	shyshyannne	2
226	TheDiamondCG	2
226	Inchef	2
226	CollinMH06	2
226	Windo_licker	2
226	__Fanda__	2
226	loveseeker	2
226	whoaluv	2
226	King_Pancake1	2
226	AlexStrange	2
226	kars0n	2
226	ItsAki_	2
226	fred870d	2
226	MousePlays	2
226	_naturell	2
226	HolyVenom	2
226	TheSeismicDuck	2
226	Deodorante	2
226	MightyWertu	2
226	Blaiku	2
226	Barlycorn	2
226	Hisiste	2
226	monky_irl	2
226	WyngGoy	2
226	Ze_BaronKrigler	2
226	Razzgriz	2
226	stavgod	2
226	07shiny	2
226	djancak	2
226	starbits140	2
226	Soplight	2
226	stahouo	2
226	SammiWolfGirl	2
226	Luigipunch989	2
226	GlitchyPlate810	2
226	FelixPSY375	2
280	SirUnderpants	1
280	awesomeoneme	1
280	SpaceGrenadier	1
280	ashetrays	1
280	MinttyFressh	1
280	eclipseboi	1
280	Kubelz	1
280	John6970	1
280	gabriels543	1
280	Neemuuri	1
280	_Bguette_	1
280	SexcMf	1
280	__tomato	1
280	MADDMASTA	1
280	kinas45y5	1
