rank	username	minecraft:crafted/minecraft:cyan_terracotta
1	Jackattack53	83388
2	YungMaki	32312
3	joethahobo	18932
4	thewindmillman	18344
5	Inbefour	9624
6	DarlaMeow	9216
7	ConnorDanky_	8823
8	Frozil20	8744
9	Hyp3rion_	8260
10	Marbz_	7584
11	PlasticOtari	5928
12	EcksD	4872
13	weabis	4800
13	cog	4800
15	PazinGaming	4520
16	xxPipperDipperxx	3417
17	kekhon	3264
18	Jimb0nat0r	3120
19	Rumpletaezer	3032
20	__tomato	2432
21	Mr_Byzantine	2364
22	_Karmaa	2272
23	Fullut	2240
24	Sral7	2220
25	thescout7	1888
26	KingEgg1	1736
27	Kakolbus	1664
28	Huwulling	1580
29	ImpavidArcher	1568
30	crashomon	1512
31	ApophisNova	1408
31	MyNamaSheff	1408
33	Karbl	1128
34	TheShyPig	1120
35	emreknugrlu	1088
36	legal_tax_evader	1024
37	noam464	967
38	QuiCreans	944
39	NinjaKnifeKill	880
40	Blackberry1310	816
41	epiksk8erduck	768
42	Manaateee	756
43	myaccountwasgone	696
43	Kowcio_	696
45	hanaryheatwave	648
46	Elastiq	644
47	fragrantmonke444	640
48	I_Am_Mushkin	588
49	Mahoose	576
49	EveryonesUncle	576
51	rarrq	552
52	mwrty	548
53	Blaiku	536
54	PhantomsGhost_	512
54	SvenskaHugo	512
54	Enderxz3	512
57	Mattesco	504
58	TheSecondLord	500
59	dopplexd	480
60	Werbe	448
60	lordpipe	448
62	bl1ss0	424
63	AuroraValkyrie	408
64	pintsizedrogue	392
64	XxCookiequeenxX	392
66	EMC_	384
66	audiocracked	384
66	annebolyn	384
69	Arceus1975	336
70	titanlax	328
71	Alteriity	308
72	abramgray	304
72	Niklas20114552	304
74	beeperbeeper5	289
75	RebytreGT	256
75	groofles	256
77	Merv__	252
78	CoffeeNoir	248
79	MattieHD	240
80	ZoomieZoomie	208
81	Di_infiri	200
82	pretty_pink_reno	192
83	iSammael	168
84	Historical_Sand	140
85	LeauVox4921	128
85	SellyZ	128
85	Blu3beast	128
85	Legendosh	128
89	CattSoup	120
90	Ssor69	112
91	theonlymagikarp	88
92	500am	72
93	HellsSponge	68
94	pixelviolin	65
95	Vetral1	64
95	DemTechAlpha	64
95	MakeHistory157	64
98	luseis	60
99	The_SlideV5	40
100	oscminus	36
100	Quotary	36
102	nattybears	24
102	gcaisawesome	24
102	Krowuss	24
102	Pumpkin_P_Patch	24
102	00000000-0000-0000-0009-01ff0c3e5e4f	24
107	Yamdalorian	17
108	Zaridey	16
108	Jiminbub	16
108	Eraxa	16
111	Smashic	12
111	TheKingK_	12
111	KingMatthew506	12
114	Bandito_Roamer	8
114	KarlKaek	8
114	Da_Boss_Rani	8
114	Skylord_Luke	8
114	StinkyDiplomat	8
114	Spacewardharpy7	8
114	ItsDeltaMC	8
114	Cache3	8
122	Buuck_	4
123	eitanzaki	3
124	EngagedGrub41	2
125	Comma__	1
