rank	username	minecraft:crafted/minecraft:mangrove_planks
1	Touched_Bread	14488
2	Jimb0nat0r	3227
3	k_ce	2950
4	Steelynan	2730
5	Huwulling	2616
6	Mr_Byzantine	2596
7	Merv__	2204
8	beeperbeeper5	1952
9	AdmiralSmoke	1519
10	hanaryheatwave	1348
11	Legendosh	1112
12	Nicserso	1056
13	MadmanRaven	1024
14	Segotep999	912
15	Mattesco	828
16	PazinGaming	804
17	luseis	668
18	Kondzik2008	568
19	Lutres_	528
20	Enderxz3	508
21	Druid95	420
22	bearlystraight	320
23	Manaateee	304
24	Smashic	292
25	SvenskaHugo	280
26	Kowcio_	276
27	pintsizedrogue	272
28	Soplight	264
29	Kakolbus	260
30	jessewegottacook	256
31	Mahoose	224
32	Apollo_993	192
33	Werbe	188
34	Lez_	184
34	EngagedGrub41	184
36	ECstardust	140
36	oscminus	140
38	UCP_TheKingK	132
39	00000000-0000-0000-0009-01ff0c3e5e4f	124
40	12Magner05	116
41	xxPipperDipperxx	80
42	gabukun_	72
43	PlasticOtari	68
44	Crizma_	64
45	Felenov	60
46	T045RTY	56
46	TheSecondLord	56
46	00000000-0000-0000-0009-01fc3bb26159	56
49	pixelviolin	48
50	Sleepy_Time_	44
51	noam464	40
52	CarryLine	36
53	MineMaster0012	32
54	EMC_	28
54	SpacesickPrism	28
56	Creativebuilder2	24
56	Secret_Canary	24
58	Zeezap	16
59	ZoomieZoomie	12
60	Napoleonpancake	8
60	SteveCraftBlocks	8
60	shadowthemonkey	8
60	Fuad_R	8
64	SmashingPump	4
64	corvidpartyfor6	4
64	thewindmillman	4
64	Krowuss	4
64	Spacewardharpy7	4
64	CalebDHawk	4
64	EcksD	4
