rank	username	minecraft:crafted/minecraft:sea_lantern
1	Ezekson	152108
2	Blaiku	27522
3	Zythose	23506
4	HellsSponge	17621
5	TheShyPig	16406
6	Smoke____	14424
7	noam464	13355
8	EcksD	11842
9	beeperbeeper5	10340
10	PigDab	9487
11	Snowflowe	8851
12	Paintz	6985
13	Enderslayerxz3	5615
14	eitanzaki	5327
15	Frozil12	5313
16	gcaisawesome	5122
17	ImpavidArcher	4666
18	Hisiste	4100
19	joethahobo	3228
20	M_Patata	2627
20	MasterNueve	2627
22	oxfordschool	2306
23	Mahoose	2297
24	12Magner05	2239
25	kekhon	1890
26	MyNameIsJobo	1729
27	Spacewardharpy7	1554
28	pintsizedrogue	1293
29	teslawolf38	976
30	thewindmillman	914
31	Bumpy419	902
32	Jiminie	900
33	EveryonesUncle	893
34	Kakolbus	869
35	MightyWertu	768
36	Di_infiri	721
37	CliffEmAll	719
38	Arceus1975	680
39	Groundler	669
40	SingedBread	640
41	EMC_	576
42	Racengan	465
43	XboxPanda	435
44	_Dean_123	355
45	Inbefour	337
46	lordpipe	320
47	Blu3beast	303
48	SkateboardR6	299
49	diggydog67	274
50	__tomato	259
51	Xclax101	212
52	m_be9	192
53	ApophisNova	179
53	MyNamaSheff	179
55	Rocco_Lane	168
56	Factoroni	158
57	Hyp3rion_	139
58	Aezekial	128
59	Onennon	121
60	Incinere	113
61	set67	112
62	Notta	106
63	El_Jalapeno	104
64	Chromary	96
65	Zaridey	94
66	Fullut	92
67	Eraxa	91
68	stellarjay	80
69	Hiryu27	78
70	YungJakobo	70
71	jcool7	68
72	MakeHistory157	64
73	Awyrlas	58
73	cog	58
75	PhantomsGhost_	48
75	Shogunite	48
77	layabout100	45
78	platinumzero	44
79	Groovy_MoonBird	41
80	King_Pancake1	39
81	FirsTimeGamingTV	38
82	RebelAndroid	37
83	Fuhrer_Teemo	32
84	SpookyDraggin	28
84	YungMaki	28
86	dudcreeper	25
86	Iagoku	25
86	xxPipperDipperxx	25
86	Kyrum2169	25
86	PortlyPete69	25
86	UltraZombie	25
92	sebastiensaborio	23
93	Skippeh	19
94	Vellu21	18
95	audiocracked	16
95	QueenShuvi	16
95	h2p_emrld	16
98	Rumpletaezer	15
99	sp00ky_ghost977	14
100	Fizznut909	13
100	Legendosh	13
102	claivin	12
102	CACTUSLAD	12
102	CalebDHawk	12
102	Powowowow	12
102	2blox	12
107	voiding_	8
107	Soplight	8
109	Comma__	7
110	_Karmaa	6
111	Maenara	5
112	ooga47	4
113	DarlaMeow	2
113	obzii	2
113	anbbang	2
116	fred870d	1
116	DemTechAlpha	1
116	djancak	1
