rank	username	minecraft:crafted/minecraft:shield
1	_Dean_123	146
2	Smoke____	113
3	beeperbeeper5	80
4	TheShyPig	57
5	TheSecondLord	46
6	__tomato	44
7	Nach0Bear	38
8	teslawolf38	36
9	Mahoose	33
9	joethahobo	33
9	djancak	33
12	500am	29
12	lordpipe	29
14	fred870d	28
14	Akoot_	28
16	eitanzaki	24
16	kekhon	24
18	pintsizedrogue	22
18	T045RTY	22
18	rarrq	22
18	set67	22
18	Soplight	22
23	hm947	21
23	Kferno	21
25	SaucyDark	20
25	Werbe	20
27	jnp_gaming	19
28	YungMaki	17
29	SkateboardR6	16
30	Bandito_Roamer	15
30	noam464	15
30	monky_irl	15
30	MilleGrug	15
34	Drlzyy	14
34	Dedalus36	14
34	Dan_Scha	14
34	stahouo	14
38	wezzzi	13
38	chipklip	13
38	Xclax101	13
41	lotarp	12
41	Kubelz	12
41	Skylord_Luke	12
41	Freak_Genius	12
41	Frozil12	12
46	Historical_Sand	11
46	Kamflame10	11
46	Hyp3rion_	11
46	Zythose	11
46	Onennon	11
46	NomadicRobin_	11
46	Blaiku	11
53	Blackberry1310	10
53	Fullut	10
53	Groundler	10
53	MakeHistory157	10
53	oxfordschool	10
58	PhantomsGhost_	9
58	diamondgolem35	9
58	M_Patata	9
58	Lord_Jord	9
58	EveryonesUncle	9
58	sebastiensaborio	9
58	kinas45y5	9
65	Tolhart	8
65	Incinere	8
65	Jackster03	8
65	jacxhadow	8
65	Inchef	8
65	Di_infiri	8
65	Arceus1975	8
65	The11thDoctor	8
65	ooga47	8
65	420BreadLizard	8
65	BlankityMcBlank	8
65	Enderslayerxz3	8
65	UrbanPlanner1978	8
65	TechnoNinja64	8
79	youhjjhhhjj	7
79	Ardennes	7
79	egglapras	7
79	Xalithia	7
79	Paintz	7
79	Chromary	7
79	burbankbuilder28	7
79	MustardDrinker	7
79	Fuhrer_Teemo	7
79	claivin	7
79	fluddd	7
79	MasterNueve	7
79	Eraxa	7
79	stellarjay	7
93	rats_life	6
93	Groovy_MoonBird	6
93	Froste131	6
93	Merv__	6
93	6king6colt6	6
93	12Magner05	6
93	emrekn	6
93	RodSerlingCringe	6
93	Maenara	6
93	censorsheep	6
93	Hisiste	6
93	Nagasaki_Riku	6
93	EcksD	6
93	RadarHz	6
107	strongman951753	5
107	error10101	5
107	RebelAndroid	5
107	Nicky_H225	5
107	MattieHD	5
107	himak1	5
107	CharlieButt	5
107	mariominejedi	5
107	impossibleteapot	5
107	Joestra	5
107	DTwenty	5
107	Meatlaugh	5
107	Blu3beast	5
107	Spacewardharpy7	5
107	NotMeowMix	5
107	Ze_BaronKrigler	5
107	Decaying_Lotus	5
107	Kyrum2169	5
107	PortlyPete69	5
107	Hermanni__	5
107	h2p_emrld	5
128	MixerDixer	4
128	Jalvajar	4
128	fanofbands101	4
128	Cowison	4
128	Paint	4
128	KarlKaek	4
128	ExtraDumb	4
128	Hpdinosaur	4
128	ewsophie	4
128	Natty	4
128	titanlax	4
128	jushykins	4
128	AdvertisingMerc	4
128	Flapjacker687	4
128	theonlymagikarp	4
128	TheDankPlatypus	4
128	breadbowlgamer	4
128	Ecplosive	4
128	CarltheCuck	4
128	Snowflowe	4
128	AnnieBathory	4
128	dnlksl	4
128	_naturell	4
128	Deathkob	4
128	DanTheBuilderino	4
128	Nycteus_	4
128	Bloo2406	4
128	SingedBread	4
128	WyngGoy	4
128	Omar_Alone	4
128	Kowcio_	4
128	AssFullaCum	4
128	lcvezra	4
128	Luigipunch989	4
128	Poppy235	4
128	xorompole	4
128	Legendosh	4
128	2blox	4
128	Sral7	4
128	Zoeyfortnite	4
128	EcksDofficial	4
169	Jovaphobic	3
169	2xil2	3
169	pZygh0st	3
169	ImpavidArcher	3
169	Flores991	3
169	KomputerDude	3
169	CoffeeNoir	3
169	IWorkAtIkea	3
169	Ssor69	3
169	Auseawesome	3
169	Cryptacity	3
169	Aatronix1	3
169	Guillemet	3
169	minersam1	3
169	MindyDooWho	3
169	mwrty	3
169	orxngejuice	3
169	__TheNorseMan__	3
169	xxPipperDipperxx	3
169	Covalents	3
169	Kakolbus	3
169	BigMoneyH	3
169	SuperPooch06	3
169	pappaberg	3
169	Rebytre	3
169	bee_gorl	3
169	MinerDec	3
169	Gmoney390	3
169	FishyBoy3811	3
169	Sky_light_KING	3
169	Katsuragi0243218	3
169	Gryglu583	3
169	NoChumpChange	3
169	_Karmaa	3
169	Deerfoot	3
169	ATurtle4936	3
169	MightyWertu	3
169	ElKaySVK	3
169	moolerbooler	3
169	OG_Songsee	3
169	Cocoamallows	3
169	Razzgriz	3
169	33sudo	3
169	Optiprimus	3
169	ayamefag	3
169	TheEnderman548	3
169	Zetsey	3
169	starbits140	3
169	Fizznut909	3
169	SammiWolfGirl	3
169	xof_on_microwave	3
169	CalebDHawk	3
169	fffMike	3
169	Soffbord	3
169	cichy096	3
