rank	username	minecraft:crafted/minecraft:magma_cream
1	HellsSponge	1106
2	Lord_Jord	768
3	noam464	509
4	Blaiku	209
5	Hoid_the_Roamer	128
5	mihimihimihi	128
7	Mahoose	64
7	thewindmillman	64
9	nattybears	63
10	TheSecondLord	27
11	Fullut	20
11	wezzzi	20
13	ShedJr_	7
13	MattieHD	7
15	robonya_	6
16	AlphaWolfPlaysMC	5
17	stellarjay	4
18	jushykins	3
19	diamondgolem35	2
19	Spacewardharpy7	2
19	Colmer94	2
19	JayToe	2
19	Yamdalorian	2
24	fr0stss	1
24	SteveCraftBlocks	1
24	bee_gorl	1
24	Buuck_	1
24	Fizznut909	1
