rank	username	minecraft:crafted/minecraft:oak_fence
1	joethahobo	5514
2	El_Jalapeno	3198
3	beeperbeeper5	2247
4	Merv__	2214
5	Frozil12	2088
6	Di_infiri	1980
7	LeauVox4921	1413
8	HellsSponge	1384
9	CoffeeNoir	1314
10	_Dean_123	1248
11	thescout7	1138
12	noam464	1053
13	rarrq	1032
14	radioactv_jelly	942
15	Kakolbus	900
16	EMC_	864
17	KingMatthew506	810
18	YungMaki	786
19	Lord_Jord	765
20	Mahoose	759
21	crying_wolf_13	744
21	ROY4LE	744
23	TheDankPlatypus	720
24	eitanzaki	687
25	jacxhadow	684
26	TheShyPig	663
27	Skylord_Luke	651
28	xxPipperDipperxx	639
29	EveryonesUncle	606
30	The11thDoctor	600
31	Marbz_	573
31	PlasticOtari	573
33	Smashic	528
34	oxfordschool	508
35	500am	507
36	Blackberry1310	504
37	2Stout	501
38	thewindmillman	492
39	_Karmaa	483
40	ApophisNova	462
40	MyNamaSheff	462
42	lcvezra	450
43	prizm_	441
43	Inbefour	441
45	TheThomas69	429
46	Rumpletaezer	420
47	Mr_Byzantine	417
48	Groovy_MoonBird	414
48	TheSecondLord	414
48	_Bguette_	414
51	Steelynan	411
52	teslawolf38	402
53	tsitrawhy	387
54	TableTim	378
55	Smoke____	372
56	DrGrant	366
57	Windo_licker	357
58	q_wq	345
59	GingerNeutron	338
60	wobn	336
61	AuroraSkies	333
62	Hermanni__	321
63	claivin	312
64	Akoot_	309
65	Katsuragi0243218	306
66	MinttyFressh	294
67	IWorkAtIkea	288
67	RyuNeko932000	288
67	Sral7	288
67	diggydog67	288
71	youhjjhhhjj	285
71	Jokerman369	285
73	Lez_	282
74	Vizzoid	279
74	HuangMeiHua	279
76	Bumpy419	273
77	Meatlaugh	267
78	CoryJJ	261
79	ivorico	258
79	CharlieButt	258
79	Kowcio_	258
82	Jackattack53	252
83	Megarboh	249
84	Powowowow	248
85	Haadrada	240
86	Kferno	237
87	DaviusMaximoose	234
87	The_slideV3	234
87	Bloo2406	234
87	kyouma777	234
91	Luigipunch989	231
92	ogoa	219
93	SpacesickPrism	218
94	Dedalus36	216
94	Prodiginus	216
94	ratglock	216
97	KarlKaek	210
97	Snowflowe	210
97	ElderRifken	210
97	fkGrim	210
97	Enderslayerxz3	210
102	eiC_	207
103	Matemaks2137	204
103	Kateesaur	204
105	Bruh77	201
105	Nicky_H225	201
105	07shiny	201
108	Xclax101	198
109	301851	195
109	Ozixar	195
111	o0z	192
112	chlorinex	191
113	Onennon	189
114	bloodbiter	180
114	masskedman	180
114	Ezekson	180
114	jnp_gaming	180
118	Skippeh	177
119	Nekomin0	174
120	shdesolt	171
120	MyNameIsDakar	171
122	ThePoliteG	168
123	PhantomsGhost_	165
123	SSytex_X	165
125	Menthas	162
125	UltimuShadow	162
125	dopplexd	162
128	nitram49b	158
129	stuy9	156
130	dimondking777	153
130	StinkyDiplomat	153
130	OG_Songsee	153
130	calamariclam_I	153
134	TheDefiantDragon	150
134	Arceus1975	150
134	MinuteMira	150
134	MightyWertu	150
138	pintsizedrogue	147
138	toj__	147
138	SammiWolfGirl	147
138	anbbang	147
142	Alteriity	144
142	PigDab	144
142	AvaRosey	144
145	Cyntrical	141
146	Kijiki	140
147	AlphaWolfPlaysMC	138
147	Quaintster	138
147	Zoeyfortnite	138
150	DanTheBuilderino	135
150	Quotary	135
150	cichy096	135
153	picardred	132
153	hcb238	132
153	stickwhiskers	132
153	fred870d	132
153	Aangezet	132
153	PabloGonza02	132
159	Silvo614	129
160	ccormacs	126
160	Skomo	126
160	Barlycorn	126
163	KingFaenor	123
163	eviltunix	123
163	TylerDupree	123
163	SuperPooch06	123
163	Hyp3rion_	123
163	EcksD	123
169	MixerDixer	120
169	Fuhrer_Teemo	120
169	Shogunite	120
169	jaimshae	120
173	T045RTY	117
173	smarticuno	117
173	loveseeker	117
173	KlausVonStiglitz	117
173	ProfessorDiaper	117
173	Cocoamallows	117
173	TechnoNinja64	117
180	Werbe	114
180	RodSerlingCringe	114
182	6king6colt6	111
182	gaziter10	111
182	titanlax	111
182	MovingFish7	111
182	__tomato	111
182	Soplight	111
182	h2p_emrld	111
189	fade_emerge78823	108
189	ImDisconnected_	108
189	_8man	108
189	Th6masss	108
189	Legendosh	108
194	Ssor69	102
194	Darkgon	102
194	Freak_Genius	102
194	SkateboardR6	102
198	Inchef	101
199	BodaciousCake	99
199	m_be9	99
199	Fullut	99
199	benediktine1	99
