rank	username	minecraft:crafted/minecraft:blue_terracotta
1	YungMaki	23960
2	ApophisNova	15832
2	MyNamaSheff	15832
4	Rumpletaezer	8192
5	_Nuf	3672
6	AltnumberF4	2432
7	Di_infiri	2284
8	noam464	2048
9	Jovaphobic	2000
10	thewindmillman	1968
11	mwrty	1920
12	EcksDofficial	1552
13	joethahobo	1148
14	NameGenerat0r	1072
15	Inbefour	1040
16	Sral7	1036
17	Groovy_MoonBird	1024
18	kekhon	888
19	Merv__	844
20	TheSecondLord	768
20	EveryonesUncle	768
20	oxfordschool	768
23	Werbe	728
23	AssEatrAndLicker	728
25	Frozil12	716
26	xxPipperDipperxx	696
27	rarrq	536
28	DarlaMeow	512
29	lordpipe	488
30	TheShyPig	480
31	HAIRYCLOUD626	432
32	Kakolbus	384
32	SSytex_X	384
34	Notta	376
34	Vellu21	376
36	sebastiensaborio	328
37	MightyWertu	320
38	ImpavidArcher	300
39	Hyp3rion_	288
40	Snowflowe	280
41	Blamphe	256
42	sp00ky_ghost977	252
43	KarlKaek	248
44	Blackberry1310	200
45	_Karmaa	192
46	nocturne78	168
47	EMC_	128
47	ROY4LE	128
47	theonlymagikarp	128
47	Deathkob	128
51	Hpdinosaur	121
52	SellyZ	112
52	Invisie	112
54	Bandito_Roamer	104
55	Parcc	96
56	Soplight	92
57	NNikitas	76
57	HellsSponge	76
59	Syropatathe	72
59	Spacewardharpy7	72
61	AuroraValkyrie	64
61	Marbz_	64
61	Barlycorn	64
61	MilleGrug	64
65	The_SlideV5	56
66	titanlax	40
66	Awyrlas	40
68	SokaOtaku	32
68	Bumpy419	32
68	Akoot_	32
68	Jiminbub	32
72	Smoke____	27
73	MunkaKris	24
73	BodaciousCake	24
73	GLLogan2	24
73	Diavri	24
73	XxCookiequeenxX	24
73	Blu3beast	24
79	thescout7	16
79	Hiryu27	16
81	_Bguette_	13
82	_stets	12
83	pixelviolin	10
84	beeperbeeper5	8
84	SuperPooch06	8
84	Arceus1975	8
84	Kouridragon	8
84	Kim_Jong_eel	8
84	yatsuta	8
84	mobunni	8
84	JohnPrice	8
92	The_slideV3	6
93	Eraxa	5
93	EcksD	5
95	chipklip	4
96	Freak_Genius	3
