rank	username	minecraft:crafted/minecraft:iron_nugget
1	joethahobo	188796
2	beeperbeeper5	100970
3	noam464	93040
4	pintsizedrogue	61760
5	Hyp3rion_	53948
6	thewindmillman	29742
7	TheSecondLord	20929
8	AdmiralSmoke	19160
9	HellsSponge	18193
10	gcaisawesome	17705
11	EveryonesUncle	17656
12	Mahoose	15249
13	m_be9	13159
14	r123moore	12009
15	_Dean_123	11506
16	FreakGenius	10284
17	Akoot_	10161
18	KingMatthew506	10022
19	PlasticOtari	9904
20	PazinGaming	9775
21	Shogunite	9768
22	Ezekson	9439
23	Kakolbus	9338
24	Mattesco	9186
25	xxPipperDipperxx	9131
26	500am	8673
27	Steelynan	8576
28	rarrq	8507
29	Werbe	8358
30	Legendosh	8265
31	Enderxz3	8109
32	PigDab	7700
33	TheShyPig	7482
34	Inchef	7404
35	Blaiku	6614
36	Huwulling	6552
37	CattSoup	6341
38	Onennon	5363
39	Skylord_Luke	5029
40	luseis	4993
41	WyngGoy	4981
42	xolstoi	4925
43	kekhon	4813
44	mwrty	4759
45	Manaateee	4752
46	ROY4LE	4522
47	mihimihimihi	4515
48	wwwwinnebagoooo	4490
49	Skippeh	4399
50	Lez_	4368
51	Hoid_the_Roamer	4352
52	Mr_Byzantine	4311
53	SvenskaHugo	4281
54	KarlKaek	4266
55	Crowman1	4230
56	jacxhadow	4216
57	Fullut	4210
58	Merv__	4107
59	Kowcio_	4103
60	Eraxa	4055
61	_Huge_Male_	3967
62	EMC_	3852
63	Lord_Jord	3783
64	Marbz_	3762
65	ConnorDanky_	3731
66	Ryan_GEMS	3713
67	Lutres_	3656
68	SkateboardR6	3634
69	Druid95	3617
70	jnp_gaming	3600
71	lordpipe	3419
72	Jackattack53	3286
73	Blackberry1310	3269
74	Nicserso	3213
75	Airem_Core	3165
76	YungMaki	3106
77	eitanzaki	3062
78	ImpavidArcher	2992
79	EcksD	2855
80	SaucyDark	2830
81	RatatJuice	2754
82	12Magner05	2664
83	Historical_Sand	2641
84	TheDankPlatypus	2632
85	XxCookiequeenxX	2631
86	RedcatVII	2535
87	AlexxO_o	2520
88	Racengan	2495
89	Di_infiri	2473
90	Groovy_MoonBird	2457
91	RoskobiOne	2448
92	Kubelz	2330
93	set67	2304
93	MadmanRaven	2304
95	Stiar	2250
96	T045RTY	2248
97	Chromary	2226
98	PaperCanvas	2188
99	LeonelSalamanca	2178
100	IamCL4SSY	2133
101	prizm_	2033
102	SingedBread	2014
103	ApophisNova	2000
103	MyNamaSheff	2000
105	AlphaWolfPlaysMC	1833
106	MAns_44	1831
107	Jimb0nat0r	1779
108	MovingFish7	1753
109	sp00ky_ghost977	1732
110	F_Uhre	1728
111	diamondgolem35	1711
112	Fildyr	1701
113	KeruNatsema	1645
114	wezzzi	1638
115	Soplight	1608
116	teslawolf38	1593
117	Xclax101	1584
118	lcvezra	1570
119	SammiWolfGirl	1557
120	Malorn_Aetherius	1522
121	Ecplosive	1503
122	yulgur1	1462
123	StarCookiees_	1452
124	pixelviolin	1441
125	k_ce	1419
126	PhantomsGhost_	1418
127	Ssor69	1404
128	ECstardust	1397
129	2blox_	1395
130	Deathkob	1321
131	pappaberg	1288
132	The_Quack_Dealer	1287
133	Rumpletaezer	1278
134	RebelAndroid	1255
135	LeauVox4921	1211
136	UncreativeArtist	1204
137	stellarjay	1195
138	killmeiamtraitor	1172
139	UCP_TheKingK	1171
140	MyNameIsJobo	1169
141	BlancoFlaco	1161
142	Billious	1152
142	Bumpy419	1152
142	Dakar_	1152
142	fffMike	1152
146	M_Patata	1144
146	MasterNueve	1144
148	Smashic	1132
149	Biites	1125
150	Blu3beast	1107
151	Apollo_993	1105
151	Maenara	1105
153	Snowflowe	1082
154	Hiryu27	1071
155	2Stout	1070
156	Windo_licker	1067
157	djancak	1065
158	Reneedium	1062
159	IdeallyGrey	1036
160	RefluxRatio	1026
161	Touched_Bread	1024
161	selectrix	1024
163	Zythose	1017
164	SpacesickPrism	1010
165	Jimi7hits	972
166	Tommhh	946
167	Cowison	944
168	Voxin2K	935
169	Fuhrer_Teemo	932
170	StinkyDiplomat	925
171	fkGrim	918
172	ScootOfBoot	909
173	DanTheBuilderino	906
174	Saucepeh	900
175	toj__	882
176	Alteriity	874
177	__tomato	865
178	Notta	864
178	bloodbiter	864
178	eviltunix	864
181	OreTheBear	855
182	livingdaydreams	841
183	Spacewardharpy7	838
184	Meatlaugh	813
185	CharlieButt	810
186	Frozil20	802
187	Avocadogerms	795
188	BlueZabu	793
189	Factoroni	792
190	cedric72	781
191	MrExplorer	765
192	RyuNeko932000	756
193	Quotary	752
194	excelsionprime	738
194	Inbefour	738
194	_Bguette_	738
197	UrbanPlanningEx	720
198	dudcreeper	702
198	corvidpartyfor6	702
200	Fuad_R	675
200	El_Jalapeno	675
202	6king6colt6	666
202	Tiktola01	666
204	ogoa	657
205	_Razaria	648
206	Hahaa_0	643
207	Winklepicker279	639
208	Doom_melon	628
209	Shiirazu	626
210	NoChumpChange	621
211	Karetoko	619
212	Sorry_Arey	612
213	Zoeyfortnite	605
214	WYFYoyo	597
215	thescout7	594
215	JETrotter	594
217	anbbang	591
218	Eraza	585
218	lillips	585
220	John6970	577
221	powercas_gamer	576
221	Cryptacity	576
