rank	username	minecraft:crafted/minecraft:copper_trapdoor
1	thewindmillman	1204
2	Mr_Byzantine	268
3	TheWickedBird	122
4	k_ce	84
5	Merv__	40
6	Enderxz3	30
7	pintsizedrogue	2
7	Lorcout	2
