rank	username	minecraft:crafted/minecraft:flint
1	Merv__	3190
2	sp00ky_ghost977	955
3	KingMatthew506	360
4	beeperbeeper5	260
5	MonitorLizards	180
6	_Virify_	120
6	Historical_Sand	120
8	LuvLuvLove	110
9	Skippeh	100
10	Mahoose	60
10	ReflexCode	60
10	Spacewardharpy7	60
13	TheShyPig	16
14	Crizma_	10
14	masskedman	10
14	geekbird	10
