rank	username	minecraft:crafted/minecraft:chiseled_deepslate
1	Hylo482y	59
2	pintsizedrogue	27
3	ImpavidArcher	21
4	Smoke____	16
5	Freak_Genius	14
6	Legendosh	12
6	00000000-0000-0000-0009-01f898304150	12
8	Toasty_Tom	10
9	RebelAndroid	9
10	12Magner05	6
11	beeperbeeper5	5
11	benediktine1	5
13	thewindmillman	4
13	PlasticOtari	4
15	_Boipl_	3
16	Mattesco	2
16	Soplight	2
18	TheSecondLord	1
18	Megarboh	1
18	Kubelz	1
18	Winklepicker279	1
18	ApophisNova	1
18	Spacewardharpy7	1
18	GlitchyPlate810	1
18	CalebDHawk	1
18	Hermanni__	1
18	MyNamaSheff	1
