rank	username	minecraft:crafted/minecraft:purpur_pillar
1	Smoke____	220
2	mwrty	187
3	vandmanden	153
4	Mewar	106
5	Nicserso	90
6	MakeHistory157	63
7	Hpdinosaur	42
7	SuperPooch06	42
9	Tyrannosplart	33
10	HellsSponge	32
11	m_be9	26
12	lordpipe	22
13	PhantomsGhost_	18
14	TheEnderMan548	9
15	6king6colt6	8
16	Lez_	7
17	Powowowow	1
