rank	username	minecraft:crafted/minecraft:raw_copper
1	pintsizedrogue	55206
2	TheBananaKat	26148
3	Enderxz3	24742
4	thewindmillman	14021
5	j5ylim	9230
6	luseis	8539
7	Yamdalorian	8200
8	Mattesco	6921
9	Nicserso	6281
10	QuiCreans	5847
11	Soplight	5050
12	500am	4482
13	12Magner05	4085
14	Mr_Sun15	3491
15	SpacesickPrism	3442
16	EMC_	3384
17	Mahoose	3206
18	TheWickedBird	2203
19	Mr_Byzantine	2104
20	Apollo_993	1818
21	Kakolbus	1800
22	pixelviolin	1790
23	corvidpartyfor6	1737
24	hanaryheatwave	1644
25	Sleepy_Evelyn	1448
26	Samificator	1386
27	sp00ky_ghost977	1197
28	PlasticOtari	981
29	Jimi7hits	912
30	FormulaNewt3627	846
31	Krowuss	801
32	PaperCanvas	772
33	dartwaffle	765
34	Merv__	710
35	Manaateee	684
36	gcaisawesome	576
36	Pumpkin_P_Patch	576
38	U_Mos_	531
39	TheSecondLord	504
40	Flores991	468
41	00000000-0000-0000-0009-01ff0c3e5e4f	441
42	SaphLaseer	423
42	powercas_gamer	423
44	Silvo614	414
45	Valoth	387
46	k_ce	360
47	ApophisNova	342
47	MyNamaSheff	342
49	Buuck_	252
50	Huwulling	243
51	groofles	234
52	Myszoaz	207
53	myaccountwasgone	189
54	Niklas20114552	126
55	calamariclam_I	99
56	Spacewardharpy7	63
56	Heisenbberrg	63
58	mobunni	62
59	BPTY4618	45
59	Da_Boss_Rani	45
61	JitteryJared2	27
61	yulgur1	27
63	Miroryk	18
63	shadowthemonkey	18
65	Saltymart	9
65	RebelAndroid	9
65	xPixelRainx	9
65	MattieHD	9
65	Touched_Bread	9
65	Hyp3rion_	9
65	Solar_Power	9
65	ItsDeltaMC	9
65	Kowcio_	9
65	Gustavo64	9
65	Iamthejo	9
