rank	username	minecraft:crafted/minecraft:stripped_crimson_hyphae
1	Lutres_	501
2	beeperbeeper5	144
2	Mattesco	144
4	noam464	48
4	Rebytre	48
6	hermmm_	30
7	ConnorDanky_	18
8	Merv__	9
8	KingMatthew506	9
10	pintsizedrogue	3
10	TheSecondLord	3
10	HellsSponge	3
10	Steelynan	3
10	Legendosh	3
