rank	username	minecraft:crafted/minecraft:birch_sign
1	Di_infiri	1470
2	EcksD	1019
3	beeperbeeper5	911
4	Ezekson	846
5	Dedalus36	685
6	Smoke____	663
7	Werbe	642
7	AssEatrAndLicker	642
9	Jordan_R	594
10	noam464	477
11	Legendosh	396
12	lordpipe	375
13	Njensen7	346
14	joethahobo	324
15	Spacewardharpy7	291
16	YungMaki	240
17	teslawolf38	231
18	bigstankyy	227
19	Merv__	189
20	Mahoose	181
21	kekhon	141
22	_Dean_123	138
22	EcksDofficial	138
24	jacxhadow	135
25	stahouo	129
26	Soplight	126
27	chipklip	116
28	eitanzaki	114
28	Freak_Genius	114
28	fffMike	114
31	eviltunix	102
31	TheShyPig	102
31	OG_Songsee	102
34	EtherealEspresso	96
35	Inbefour	87
36	SammiWolfGirl	84
37	mwrty	81
38	Blaiku	78
39	Blackberry1310	72
39	thewindmillman	72
41	sp00ky_ghost977	71
42	PhantomsGhost_	66
42	Iagoku	66
44	cedric72	63
44	Vorlice	63
44	PortlyPete69	63
47	T045RTY	60
47	G1ldor	60
47	Giannism	60
47	Winston_Ingram	60
47	oxfordschool	60
47	cichy096	60
53	TheSecondLord	57
54	Vellu21	54
55	KarlKaek	51
55	CollinMH06	51
55	Hyp3rion_	51
55	Skylord_Luke	51
55	IAmTheWalrus910	51
60	SuperPooch06	48
60	Groundler	48
62	Jovaphobic	45
62	NotMeanttoChange	45
64	CoffeeNoir	42
64	KeruNatsema	42
64	lizardfightclub	42
64	Sky_light_KING	42
64	Enderslayerxz3	42
69	Cowison	39
69	thescout7	39
69	MangoTheFish	39
69	audiocracked	39
73	NomadicRobin_	36
73	Optiprimus	36
73	vandmanden	36
73	diggydog67	36
77	RebelAndroid	33
77	500am	33
77	himak1	33
77	r123moore	33
77	Kakolbus	33
77	dezxalo	33
77	masskedman	33
77	djancak	33
77	jnp_gaming	33
86	livingdaydreams	30
86	ADEXTV	30
86	SpookyDraggin	30
86	07shiny	30
86	BreadBacon	30
91	ccormacs	29
92	HellsSponge	28
93	BlancoFlaco	27
93	Fullut	27
93	Zythose	27
93	_Bguette_	27
93	Blu3beast	27
93	fluddd	27
93	TheEnderman548	27
100	pintsizedrogue	24
100	surfinggiraffejp	24
100	CaptainBadKid	24
100	SIRdrumroll	24
100	DeGodz4life	24
100	KingMatthew506	24
106	SaucyDark	21
106	ShedJr_	21
106	heckface	21
106	12Magner05	21
106	xxPipperDipperxx	21
106	TheDankPlatypus	21
106	Jackattack53	21
106	Kowcio_	21
106	Nicserso	21
106	Powowowow	21
106	TechnoNinja64	21
117	6king6colt6	18
117	I_Am_Mushkin	18
117	diamondgolem35	18
117	bloodbiter	18
117	Ecplosive	18
117	KartivGal	18
117	LetsDoItLive	18
117	33sudo	18
117	stavgod	18
117	Spenduh	18
