rank	username	minecraft:crafted/minecraft:cooked_beef
1	500am	1842
2	lordpipe	1310
3	RoskobiOne	1088
4	Xclax101	1042
5	Comma__	981
6	Blackberry1310	934
7	SaucyDark	734
8	Werbe	718
9	Razzgriz	706
10	Lord_Zacler	695
11	pappaberg	654
12	Harotio	639
13	KarlKaek	638
14	wobn	631
15	Awyrlas	594
16	Lowjinx	546
17	Fildyr	541
18	MinttyFressh	495
19	djancak	489
20	Frozil12	479
21	HellsSponge	460
22	ProfessorDiaper	459
23	M_Patata	457
23	MasterNueve	457
25	Kowcio_	456
26	Spacewardharpy7	448
27	kekhon	434
28	Jovaphobic	416
29	intropass	414
30	Fuhrer_Teemo	402
31	Vizzoid	400
32	DarkS0L	396
33	youhjjhhhjj	384
34	selectrix	382
35	SSytex_X	379
36	Hyugo	376
37	Snowflowe	373
38	Lord_Jord	357
39	El_Jalapeno	345
40	Froste131	344
41	_Dean_123	340
42	Di_infiri	327
43	_naturell	325
43	PlzNoBM	325
45	h2p_emrld	320
46	burbankbuilder28	317
47	TheShyPig	309
48	AnnieBathory	296
48	Kouridragon	296
50	Kateesaur	295
51	mariominejedi	294
52	CruncyIsTaken	284
53	Legendosh	269
54	diggydog67	267
55	Malorn_Aetherius	266
56	BreadBacon	264
57	q_wq	263
58	Windo_licker	259
59	pintsizedrogue	256
59	NomadicRobin_	256
61	MyNameIsJobo	251
62	Zaridey	246
63	Guillemet	243
64	TheOnlyRake	233
65	_TCARREIRA_	223
66	SLASHZEERA	222
67	Dogcorn69420	220
68	Akoot_	219
69	set67	215
70	MyNameIsDakar	213
71	Russiancat1	205
72	bloomkieren	199
73	eiC_	197
73	SvenskaHugo	197
75	Skippeh	194
76	ItsAki_	192
77	_Cloverbelle_	189
77	DTwenty	189
79	joethahobo	184
79	_Karmaa	184
81	sufjanlover	183
82	GravitySaint	182
82	_3Stump_	182
84	BlancoFlaco	177
84	WYFYoyo	177
86	mwrty	176
87	Toriankel	173
88	titanlax	172
89	IWorkAtIkea	168
89	sp00ky_ghost977	168
89	DennyKai	168
92	Rumpletaezer	166
93	KingMatthew506	159
94	Kim_Jong_eel	158
95	6king6colt6	156
96	SUN_DREAM	152
97	RodSerlingCringe	151
97	Wolverine4302	151
99	xxPipperDipperxx	149
100	SyK7	148
100	fkGrim	148
102	Cowison	139
102	jushykins	139
104	PegLegPete93	134
104	zmpeg	134
106	mobunni	133
107	Barlycorn	132
107	Smoke____	132
109	ratglock	131
109	fluddd	131
111	jacxhadow	130
111	yatsuta	130
111	jaimshae	130
114	m_be9	128
114	Moofyman	128
114	Skomo	128
114	Nagasaki_Riku	128
118	Winklepicker279	127
119	BilboBaggins23	125
120	Katsuragi0243218	121
120	1442	121
122	ori0le	120
123	ivorico	119
123	Jackster03	119
125	Natty	118
126	wezzzi	115
126	FallenCorps	115
128	Hiryu27	114
129	Decaying_Lotus	112
130	TheDankPlatypus	111
131	starbits140	110
132	Inbefour	106
133	BigCronkin	104
134	Maenara	101
135	ThePoliteG	100
135	o0z	100
137	Bandito_Roamer	99
138	Darkgon	97
139	Gary_	96
140	cytotoxaint	95
140	Oxygen16	95
142	deerm	94
142	SirBreadward	94
144	GingerNeutron	93
145	KingFaenor	92
145	TheSecondLord	92
145	GLLogan2	92
145	The11thDoctor	92
149	MrExplorer	90
150	MattieHD	89
150	anbbang	89
152	Kegradigm	88
152	fallingemma	88
154	Menthas	87
154	crying_wolf_13	87
156	SDW_Insanity	86
156	Project_MKBRD	86
158	Merv__	85
158	UncleDanDan	85
158	Hyp3rion_	85
158	KeruNatsema	85
158	KlausVonStiglitz	85
163	iTurbo	84
163	NotMeowMix	84
165	smogfrog	83
166	ROY4LE	81
166	claivin	81
166	LeeMcGee30	81
169	EMC_	80
169	Marbz_	80
169	jewbacaman	80
172	r123moore	79
172	Noah_Bez	79
172	valiSW	79
172	misomon	79
172	00000000-0000-0000-0009-01ff0c3e5e4f	79
177	livingdaydreams	76
177	dopplexd	76
177	WET_WET_WET	76
177	PortlyPete69	76
181	Glowhetic	75
182	Kubelz	73
183	SingedBread	72
184	TooManyDuck	70
185	soundad	69
185	Wooptey	69
185	OG_Songsee	69
185	CoryJJ	69
189	Enigma0251	68
189	PabloGonza02	68
191	Prodiginus	67
191	John6970	67
191	lOlmantschi	67
191	voiding_	67
191	Rainaldus	67
196	picardred	65
196	SoftSix	65
196	MakeHistory157	65
199	Ailmast	64
199	12Magner05	64
199	leaf26	64
199	aec9	64
199	thgrocks	64
199	ClemenPine	64
199	Dan_Scha	64
199	Aangezet	64
199	natajimi	64
199	KermitTheKripple	64
209	MunkaKris	63
209	301851	63
209	JitteryJared2	63
209	wfk7	63
209	TTNG	63
209	layabout100	63
215	_NieToksikpl_	62
215	Captain_Nasty	62
217	Cryptacity	61
217	Meatlaugh	61
219	Ardennes	59
219	SpicyMeatballs	59
219	MinuteMira	59
219	monky_irl	59
223	Koffeeinz	57
223	yulgur1	57
223	lcvezra	57
223	SammiWolfGirl	57
223	Tristankill	57
228	Zlatovlas	56
228	MelodyGaysharks	56
230	TableTim	55
230	OfficerAnvil	55
232	seanitoo	54
232	FirsTimeGamingTV	54
232	Notta	54
232	Jokerman369	54
232	striker90333	54
237	Prismyst	53
237	TinMaster	53
237	_Nuf	53
237	Vorlice	53
237	Soffbord	53
242	trixterrx	52
