rank	username	minecraft:crafted/minecraft:iron_block
1	Hyp3rion_	261300
2	Spacewardharpy7	136495
3	EcksD	79305
4	noam464	62932
5	thescout7	53442
6	Mahoose	47250
7	Blaiku	45829
8	Di_infiri	32497
9	joethahobo	27696
10	eitanzaki	27626
11	EMC_	26531
12	Quotary	25479
13	PigDab	25343
14	Smoke____	16304
15	Jimi7hits	14481
16	MightyWertu	13794
17	HellsSponge	12973
18	beeperbeeper5	12546
19	gcaisawesome	12154
20	Jackattack53	10432
21	Mythic1130	10308
22	Werbe	10296
23	TheSeismicDuck	9448
24	Inbefour	9210
25	ayamefag	7414
26	luseis	6270
27	thewindmillman	6268
28	Chromary	5945
29	obzii	5802
30	F_Uhre	5786
31	r123moore	5596
32	YungMaki	5545
33	Hisiste	5393
34	Ezekson	5322
35	PlasticOtari	5008
36	pintsizedrogue	4979
37	oreee	4839
38	mwrty	3937
39	BumbleBeever	3884
40	Ryker	3787
41	Alteriity	3457
42	rarrq	3446
43	Lord_Jord	3079
44	fffMike	2889
45	lordpipe	2736
46	Marbz_	2627
47	Soplight	2568
48	07shiny	2552
49	EngagedGrub41	2400
50	jnp_gaming	2366
51	I_Am_Mushkin	2288
52	Fullut	2248
53	mihimihimihi	2223
54	TheShyPig	2149
55	audiocracked	2129
56	Iamthejo	2101
57	Snowflowe	2032
58	ApophisNova	2016
58	MyNamaSheff	2016
60	Enderxz3	1887
61	_Virify_	1886
62	500am	1859
63	non089	1826
64	12Magner05	1736
65	Wowful	1689
66	set67	1424
67	teslawolf38	1403
67	Jordan_R	1403
69	tuckerdoodle	1301
70	vandmanden	1280
71	NomadicRobin_	1232
72	m_be9	1231
73	Skylord_Luke	1223
74	ConnorDanky_	1207
75	Bumpy419	1203
76	Esme_1	1199
77	Racengan	1171
78	FreakGenius	1104
79	DanTheBuilderino	1101
80	Kakolbus	1044
81	bloodbiter	1025
82	Nicserso	1022
83	ImpavidArcher	1014
84	DemTechAlpha	1002
85	FallenCorps	1000
86	GravitySaint	969
87	MilleGrug	959
88	Elastiq	921
89	PegLegPete93	902
90	Njensen7	892
91	kekhon	891
92	PhantomsGhost_	884
93	The_slideV3	840
94	SkateboardR6	795
95	Sral7	769
96	RebelAndroid	716
97	__tomato	690
98	wezzzi	650
99	Z3braYTIL	646
100	RealGroot	632
101	livingdaydreams	630
102	Legendosh	611
103	Onennon	604
104	ClemenPine	599
105	SuperPooch06	589
106	masskedman	585
107	Awyrlas	584
108	binman420	569
109	youhjjhhhjj	568
110	Skippeh	567
111	Mewar	564
112	Blackberry1310	558
113	WyngGoy	545
114	Fuad_R	535
114	Steelynan	535
116	yulgur1	533
117	TooManyDuck	528
118	ThiccExotic	506
119	AlexxO_o	500
120	ROY4LE	498
121	M_Patata	496
122	MasterNueve	487
123	_TCARREIRA_	483
