rank	username	minecraft:crafted/minecraft:cooked_salmon
1	Bandito_Roamer	2576
2	TheSeismicDuck	1247
3	Mewar	666
4	Akoot_	600
5	MyNameIsJobo	568
6	kekhon	527
7	aec9	494
8	LordSpeed37	485
9	TheShyPig	472
10	Donutt	382
11	Rumpletaezer	351
12	JayToe	349
13	Comma__	335
14	mawileite	320
15	Bumpy419	286
16	Dedalus36	269
17	Kateesaur	262
18	Onennon	252
19	rarrq	212
20	KarlKaek	194
20	ApophisNova	194
20	MyNamaSheff	194
23	H72l9w	192
23	GingerNeutron	192
25	Ecplosive	176
26	Blackberry1310	167
27	_Dean_123	157
28	_TCARREIRA_	151
29	livingdaydreams	149
30	NYJ	146
31	Arceus1975	128
32	jacxhadow	114
33	Njensen7	101
34	Snowflowe	92
35	RadarHz	88
36	wezzzi	86
37	m_be9	85
38	RebelAndroid	80
39	2Stout	78
40	Ardennes	77
41	fluddd	69
42	Barlycorn	65
43	Franco093	64
43	jushykins	64
43	DirtyBoar	64
43	Leyna3	64
43	Typadopoulos	64
48	LilcoinXX	63
49	Di_infiri	62
50	slkiey	60
50	LetsDoItLive	60
50	Yogscast_Manden	60
53	ImDisconnected_	59
54	lcvezra	58
55	SammiWolfGirl	56
56	stuy9	52
56	1442	52
56	Zetsey	52
59	Paintz	49
60	DarlaMeow	48
60	Racengan	48
60	stellarjay	48
63	ItsAki_	46
63	ese_wn_po	46
65	RodSerlingCringe	45
66	Euclidoris	39
67	jimintyy	36
68	Reamdin	33
69	elicobnoah	32
70	CliffEmAll	30
71	Firecracker320	27
72	Begformurrcy	25
73	Wooptey	24
73	UncreativeArtist	24
75	pintsizedrogue	23
75	xxPipperDipperxx	23
75	Miko_Fullbuster	23
78	teslawolf38	22
79	Slinkyy7071	21
80	Fuhrer_Teemo	19
81	TheDankPlatypus	18
81	AvaRosey	18
81	sebastiensaborio	18
84	Soul_Atreus	17
85	anbbang	16
86	joethahobo	15
86	claivin	15
86	SquidZooka2	15
89	Xclax101	14
89	Western_1	14
91	youhjjhhhjj	13
91	whoaluv	13
91	AnnieBathory	13
91	starbits140	13
91	Deguns123	13
96	eitanzaki	12
96	tramizu	12
96	MelodyGaysharks	12
99	Kubelz	11
99	Hyp3rion_	11
99	Frozil12	11
99	deerm	11
99	bloomkieren	11
99	jnp_gaming	11
105	BlancoFlaco	10
105	TheFlfthHorseman	10
105	thescout7	10
105	Covalents	10
105	valiSW	10
105	audiocracked	10
105	sufjanlover	10
105	Vorlice	10
105	Sangre88	10
114	Soplight	9
114	pk1297	9
116	KingFaenor	8
116	ashetrays	8
116	CatGel	8
116	The_Fulgurator	8
116	master9067	8
116	Cocoamallows	8
116	Shin69	8
116	OfficerAnvil	8
124	SidorAlex	7
124	Jackster03	7
124	Dragonlfw	7
124	SolicitedPuma101	7
124	iGotUrHost	7
124	Vraem	7
130	PhantomsGhost_	6
130	SlowMoNinja1994	6
130	CoffeeNoir	6
130	firesgal3116	6
130	PumpkinPie1600	6
130	skelctal	6
130	comjosh64	6
130	Northernrabbit	6
138	dudcreeper	5
138	Lukeee33	5
138	FirsTimeGamingTV	5
138	crying_wolf_13	5
138	NotoriousNina	5
138	Corbsman	5
138	fred870d	5
138	Cattoh	5
138	NormanFetus	5
138	DemTechAlpha	5
138	KermitTheKripple	5
138	HellsSponge	5
138	_zzoe	5
138	bndo	5
138	Captain_Hardtak	5
153	Jalvajar	4
153	The_Great_Jake	4
153	elementorix	4
153	titanlax	4
153	Notta	4
153	MattieHD	4
153	Gingayy	4
153	SharpDev	4
153	mimbo1211	4
153	King_Pancake1	4
153	DeeDeeThonk	4
153	El_Jalapeno	4
153	LokisCharredFace	4
153	babyjimmyneutron	4
153	Skippeh	4
153	Enderslayerxz3	4
153	DkansK	4
170	EllaBellaChu	3
170	Vort3x33	3
170	Fullut	3
170	intropass	3
170	Zenlou	3
170	LitoDelvito	3
170	BlueZabu	3
170	Winklepicker279	3
170	CruncyIsTaken	3
170	Project_MKBRD	3
170	ADEXTV	3
170	Mister3z	3
170	Toiton	3
170	QueenShuvi	3
170	sleepdrifter_	3
170	IdeallyGrey	3
170	APS_Dan	3
170	Moetis	3
170	krutas2000	3
189	JaytheGeek	2
189	Paleshield	2
189	picardred	2
189	ratglock	2
189	DSYisDizzy	2
189	John6970	2
189	UncleDanDan	2
189	M_Patata	2
189	CollinMH06	2
189	SuperPooch06	2
189	burbankbuilder28	2
189	Mpkkiller	2
189	CaptainDeadBread	2
189	wrinkledpiglet	2
189	Dusk_95	2
189	MasterNueve	2
189	FallenCorps	2
206	Jorrdi	1
206	Argraol	1
206	SirUnderpants	1
206	SaucyDark	1
206	awesomeoneme	1
206	spaece	1
206	PBandChocolate	1
206	beeperbeeper5	1
206	Jokerman369	1
206	redikul	1
206	Z3braYTIL	1
206	mwrty	1
206	Celestikka	1
206	noam464	1
206	CharlieButt	1
206	CaptainSteve345	1
206	Windo_licker	1
206	CarltheCuck	1
206	AJplaysMC_	1
206	thewindmillman	1
206	grislgrobl	1
206	lOlmantschi	1
206	The11thDoctor	1
206	SkyHighSkier	1
206	PartyPhoenix	1
206	Renchi19	1
206	Darkgon	1
206	MustaLoordi	1
206	SwooshBoi	1
206	Blu3beast	1
206	Pickel_Lord	1
206	PabloGonza02	1
206	MineMaster0012	1
206	gaming4Naming	1
206	Kferno	1
206	Apicomplexa	1
206	oxfordschool	1
206	Smoke____	1
