rank	username	minecraft:crafted/minecraft:deepslate_tiles
1	thewindmillman	9290
2	Winklepicker279	3508
3	PigDab	1857
4	fw3xywashere	1084
5	Steelynan	1068
6	Jackattack53	1024
7	EMC_	860
8	hm947	776
9	rarrq	744
10	beeperbeeper5	652
11	RebelAndroid	529
12	Da_Boss_Rani	428
13	pixelviolin	320
14	Segotep999	256
15	_Boipl_	240
16	SvenskaHugo	196
17	Blackberry1310	128
18	PlasticOtari	105
19	RadarHz	100
20	Kowcio_	96
21	Spacewardharpy7	76
22	sp00ky_ghost977	56
23	12Magner05	49
24	Smoke____	37
25	benediktine1	36
25	mobunni	36
27	Merv__	26
28	ImpavidArcher	23
29	Lord_Doob	20
30	IdeallyGrey	16
31	500am	14
32	breadbowlgamer	12
33	Toasty_Tom	10
34	pintsizedrogue	5
35	TheSecondLord	4
36	Legendosh	3
37	Soplight	2
38	RoskobiOne	1
38	Megarboh	1
38	ApophisNova	1
38	Deathkob	1
38	MyNamaSheff	1
