rank	username	minecraft:crafted/minecraft:leather
1	Lez_	80
2	12Magner05	49
3	wezzzi	42
4	ProfessorBee	25
5	MattieHD	24
6	Di_infiri	20
7	xxPipperDipperxx	15
7	El_Jalapeno	15
9	EcksD	11
10	EMC_	9
10	oscminus	9
10	claivin	9
13	Hyp3rion_	8
14	Sleek_Storm_721	5
14	beeperbeeper5	5
14	Xclax101	5
17	Yamdalorian	4
18	Bandito_Roamer	3
18	lcn	3
18	corvidpartyfor6	3
18	Scathra	3
22	EKUG	2
22	RebelAndroid	2
22	Historical_Sand	2
22	Euclidoris	2
22	Saucepeh	2
22	m_be9	2
22	SHAOBADMAN	2
22	TheShyPig	2
22	miramyu	2
31	CLG_Kata	1
31	MoistMicrowave	1
31	500am	1
31	ROY4LE	1
31	Kubelz	1
31	buttsandcats	1
31	valiSW	1
31	ApophisNova	1
31	sammidk	1
31	AspenLightVT	1
31	ElectricDragon81	1
31	Kowcio_	1
31	YungMaki	1
31	Segotep999	1
31	stellarjay	1
31	_TCARREIRA_	1
31	ConnorDanky_	1
31	MyNamaSheff	1
31	FelixPSY375	1
