rank	username	minecraft:crafted/minecraft:polished_deepslate_wall
1	mihimihimihi	3911
2	Buuck_	834
3	PazinGaming	282
4	Paul_Katan	228
5	weabis	144
5	cutelilreno	144
7	StinkyDiplomat	138
8	nattybears	126
9	joethahobo	120
10	Mattesco	106
11	mobunni	82
12	skroobiez	60
12	milltesco	60
14	Jimb0nat0r	42
15	QuiCreans	40
16	ZeroAbyssTTV	39
17	PigDab	30
17	Spaghettatron	30
19	Marbz_	24
20	Legendosh	23
21	pintsizedrogue	19
22	Steelynan	18
23	U_Mos_	17
23	ScootOfBoot	17
25	XxCookiequeenxX	16
26	pixelviolin	14
27	Alteriity	13
27	GildedRemnant	13
29	EMC_	12
29	Gzrdy	12
31	emreknugrlu	11
32	ImpavidArcher	10
33	corpsecity	8
34	Merv__	7
34	lorywithay	7
34	Kowcio_	7
37	beeperbeeper5	6
37	Nicserso	6
37	PlasticOtari	6
40	Killercatty78	4
40	Soplight	4
42	Groovy_MoonBird	2
42	Krowuss	2
44	Megarboh	1
44	500am	1
44	DJzombiehunter	1
44	IlkeCookes_	1
44	Thunder_bird4337	1
