rank	username	minecraft:crafted/minecraft:golden_axe
1	ayamefag	40
2	TheSecondLord	18
2	ItsMrRamen	18
4	PeteO1995	14
5	Simon_Lowell	12
6	richerbat	4
7	H0UNDFRMH3LL	3
8	Tommhh	2
8	Euclidoris	2
8	xxPipperDipperxx	2
8	Soplight	2
8	bladeefan2009	2
13	Krasnal1337	1
13	RoskobiOne	1
13	Frxnkz	1
13	GingerNeutron	1
13	Scattman_	1
13	_Magdo_	1
13	MEMES4_LIFE	1
13	HoltGrim	1
13	mariominejedi	1
13	Di_infiri	1
13	Parcc	1
13	Cattoh	1
13	YahooScreen9000	1
13	sufjanlover	1
13	KermitTheKripple	1
13	QueenShuvi	1
13	Yoaty	1
13	Kowcio_	1
13	tsitrawhy	1
13	will2690	1
13	00000000-0000-0000-0009-01f570995a20	1
