rank	username	minecraft:crafted/minecraft:smooth_basalt
1	PazinGaming	3904
2	Jimb0nat0r	832
3	HUNTERmaun	592
4	_Huge_Male_	576
5	TheSecondLord	450
6	SpacesickPrism	448
7	Elastiq	320
8	bl1ss0	227
9	skroobiez	183
10	Lez_	96
11	SammiWolfGirl	92
12	k_ce	64
12	Moofyman	64
14	mihimihimihi	51
15	DrowsyOracle	44
16	PaperCanvas	33
17	4774	31
18	JETrotter	20
19	Alteriity	14
20	Skippeh	10
21	DJzombiehunter	7
22	12Magner05	5
23	Groovy_MoonBird	1
23	Mahoose	1
23	QuiCreans	1
23	mobunni	1
23	00000000-0000-0000-0009-01ff0c3e5e4f	1
