rank	username	minecraft:crafted/minecraft:iron_helmet
1	pintsizedrogue	227
2	beeperbeeper5	155
3	Yamdalorian	142
4	lordpipe	51
5	noam464	49
6	Hyp3rion_	48
6	Blaiku	48
8	joethahobo	45
9	Di_infiri	43
10	TheShyPig	40
11	rarrq	39
12	luseis	38
13	teslawolf38	37
14	Werbe	36
15	Frozil20	34
15	TheSecondLord	34
17	akap47	32
18	eitanzaki	30
18	Spacewardharpy7	30
20	Mattesco	29
20	Lord_Jord	29
20	ConnorDanky_	29
23	Awyrlas	27
24	diamondgolem35	26
25	500am	24
26	U_Mos_	22
26	Quotary	22
28	Merv__	21
28	thescout7	21
30	Mr_Byzantine	20
31	Mahoose	18
31	hermmm_	18
33	excelsionprime	17
33	xzvu	17
35	Tiberonus	16
35	thewindmillman	16
35	Bumpy419	16
35	djancak	16
39	monky_irl	15
40	philandr	14
40	EveryonesUncle	14
40	Soplight	14
43	k_ce	13
43	Skylord_Luke	13
43	Kowcio_	13
43	Njensen7	13
47	shineh10	12
47	Akoot_	12
49	Napoleonpancake	11
49	robertsnose	11
49	Ryker	11
49	knarian	11
49	set67	11
49	Kubelz	11
49	Kakolbus	11
49	LeCavalier636	11
49	MonitorLizards	11
49	Tyrannosplart	11
49	_flud	11
49	Enderxz3	11
49	PlasticOtari	11
49	00000000-0000-0000-0009-01fe357de725	11
63	Apollo_993	10
63	ActualPatbaf	10
63	emrekn	10
63	whoaluv	10
63	cedric72	10
63	Manaateee	10
63	FreakGenius	10
70	abdomera	9
70	Lez_	9
70	Inchef	9
70	Jackattack53	9
70	ooga47	9
70	F_Uhre	9
70	HellsSponge	9
70	IvarEXE	9
70	doublemaki	9
79	Bandito_Roamer	8
79	Caribouse	8
79	bloodbiter	8
79	Rumpletaezer	8
79	Fuhrer_Teemo	8
79	sufjanlover	8
79	Meatlaugh	8
79	ayamefag	8
79	Spaghettatron	8
88	Ninzyyy	7
88	Literally_Rat	7
88	Vizzoid	7
88	_Dean_123	7
88	lorpus	7
88	Fast_Turtle	7
88	Rebytre	7
88	Leyna3	7
88	Maenara	7
88	yulgur1	7
88	DanTheBuilderino	7
88	TheOnlyRake	7
88	Legendosh	7
88	jnp_gaming	7
102	T045RTY	6
102	Prismyst	6
102	Paintz	6
102	PeteO1995	6
102	DemTechAlpha	6
102	Dakar_	6
102	Groundler	6
102	Razzgriz	6
102	stavgod	6
102	__tomato	6
112	_Huge_Male_	5
112	Incinere	5
112	livingdaydreams	5
112	Malorn_Aetherius	5
112	mwrty	5
112	himak1	5
112	DrowsyOracle	5
112	Arceus1975	5
112	_Cloverbelle_	5
112	kkatsuragi	5
112	Deathkob	5
112	Twighst	5
112	_MeowMix	5
112	SvenskaHugo	5
112	bloomkieren	5
112	Ezekson	5
112	WYFYoyo	5
129	SpartanNamor	4
129	heysushii	4
129	CLG_Kata	4
129	ECstardust	4
129	Ryan_GEMS	4
129	NotMyLucKMC	4
129	Hypothesisow	4
129	Batman922	4
129	Huwulling	4
129	Sleepy_Time_	4
129	Euclidoris	4
129	Valoth	4
129	dopplexd	4
129	ratglock	4
129	MattieHD	4
129	Fullut	4
129	mariominejedi	4
129	AJplaysMC_	4
129	yaboo88	4
129	Solar_Power	4
129	Krowuss	4
129	MustardDrinker	4
129	oscminus	4
129	The11thDoctor	4
129	Skwillyum13	4
129	PigDab	4
129	Vetral1	4
129	J4k__	4
129	wezzzi	4
129	NYJ	4
129	wobn	4
