rank	username	minecraft:crafted/minecraft:purple_stained_glass
1	Alteriity	52544
2	Hyp3rion_	20880
3	Yamdalorian	13592
4	lordpipe	6328
5	Snowflowe	4088
6	hanaryheatwave	3144
7	beeperbeeper5	2736
8	TheSecondLord	1904
9	Lez_	1760
10	YungMaki	1624
11	Manaateee	1256
12	Di_infiri	1024
13	TheShyPig	856
14	TheEnderMan548	792
15	XboxPanda	648
16	txxskx	584
16	HellsSponge	584
18	MakeHistory157	560
19	pixelviolin	520
20	thewindmillman	456
21	Jackattack53	360
21	Cocoamallows	360
23	m_be9	336
24	Kowcio_	328
25	hermmm_	320
26	Inchef	288
27	00000000-0000-0000-0009-01ff0c3e5e4f	248
28	XxCookiequeenxX	240
28	EcksD	240
30	mwrty	168
31	ougstur	160
32	pintsizedrogue	136
33	Sleek_Storm_721	128
33	joethahobo	128
33	Marbz_	128
33	Spacewardharpy7	128
37	SmashingPump	120
37	Merv__	120
37	PaperCanvas	120
40	burbankbuilder28	112
41	ROY4LE	104
42	stavgod	96
43	heckface	88
44	Sharkbyte0	80
45	titanlax	72
45	Touched_Bread	72
45	Maenara	72
45	Blaiku	72
49	diamondgolem35	64
49	Notta	64
49	500am	64
49	tobinwilliams	64
49	mihimihimihi	64
49	ConnorDanky_	64
49	skitzxo	64
56	Jovaphobic	56
56	Powowowow	56
58	Rumpletaezer	40
58	_i_ERROR_i_	40
60	RoskobiOne	32
60	El_Jalapeno	32
60	Blasterboy54	32
60	Jimb0nat0r	32
64	SaucyDark	24
64	jacxhadow	24
64	Arceus1975	24
64	King_Pancake1	24
64	Jekyll	24
64	Inbefour	24
70	Galactic_Badger	16
70	Jiminbub	16
70	censorsheep	16
70	fluddd	16
70	Groundler	16
70	Steelynan	16
76	CLG_Kata	8
76	CloroxBleach385	8
76	Napoleonpancake	8
76	AuroraValkyrie	8
76	6king6colt6	8
76	Huwulling	8
76	Mahoose	8
76	BobDeBouwer1337	8
76	_Nuf	8
76	corvidpartyfor6	8
76	_Dean_123	8
76	surfinggiraffejp	8
76	xxPipperDipperxx	8
76	SeverianOfUrth	8
76	Boipl	8
76	RebytreGT	8
76	Werbe	8
76	Onennon	8
76	MAns_44	8
76	Blu3beast	8
76	blackeemperor	8
76	_Meow_Mix	8
76	underscore_2	8
76	PortlyPete69	8
76	Dogcorn69420	8
76	Ezekson	8
76	Quotary	8
76	TechnoNinja64	8
76	PlasticOtari	8
