rank	username	minecraft:crafted/minecraft:lime_banner
1	Soplight	836
2	Akoot_	375
3	Werbe	170
4	Lez_	102
5	Huwulling	96
6	Manaateee	80
7	ApophisNova	63
7	MyNamaSheff	63
9	Mattesco	60
10	beeperbeeper5	53
11	500am	52
12	eitanzaki	48
13	k_ce	40
14	LexMakesHistory	38
15	ZoomieZoomie	31
16	luseis	26
16	pixelviolin	26
18	pintsizedrogue	25
19	noam464	18
19	Kowcio_	18
21	Blaiku	16
21	skitzxo	16
23	SammiWolfGirl	12
24	HollieDaNugget	11
24	Samificator	11
26	Blackberry1310	8
26	M_Patata	8
26	PaperCanvas	8
26	MasterNueve	8
30	Merv__	7
31	MattieHD	6
32	Fullut	5
32	Kamflame	5
32	GravitySaint	5
35	ECstardust	4
35	ShedJr_	4
35	_Dean_123	4
35	valiSW	4
39	Mr_Byzantine	3
39	skroobiez	3
39	hanaryheatwave	3
39	Groundler	3
43	T045RTY	2
43	Morgf	2
43	NomadicRobin_	2
43	audiocracked	2
43	LordSpeed37	2
43	jnp_gaming	2
49	abramgray	1
49	LeberkasWeckerl	1
49	hm947	1
49	Swexti	1
49	m_be9	1
49	Kakolbus	1
49	legal_tax_evader	1
49	Snowflowe	1
49	Reneedium	1
49	HellsSponge	1
49	NameGenerat0r	1
49	Buuck_	1
49	monky_irl	1
49	Kura2218	1
49	CalebDHawk	1
