rank	username	minecraft:crafted/minecraft:dark_oak_slab
1	joethahobo	61981
2	Hyp3rion_	31170
3	rarrq	9334
4	500am	8929
5	CharlieButt	8904
6	burbankbuilder28	8142
7	jacxhadow	7955
8	Frozil20	6868
9	Kakolbus	6132
10	k_ce	6114
11	TheShyPig	5784
12	Mattesco	4818
13	beeperbeeper5	4776
14	TheDankPlatypus	4602
15	Eraxa	4422
16	PlasticOtari	4278
17	SammiWolfGirl	4059
18	Merv__	4040
19	EveryonesUncle	3978
20	EMC_	3908
21	Manaateee	3840
22	pixelviolin	3834
23	TheSecondLord	3364
24	kekhon	3300
25	Mahoose	3272
26	Wowful	2696
27	CattSoup	2627
28	MyNameIsJobo	2478
29	AlphaWolfPlaysMC	2430
30	Zythose	2329
31	luseis	2320
32	teslawolf38	2226
33	Ssor69	2166
34	Onennon	2137
35	H0UNDFRMH3LL	2076
36	Kowcio_	2054
37	Lord_Jord	2030
38	intropass	1998
39	eitanzaki	1966
40	fluddd	1920
41	SaucyDark	1738
42	skitzxo	1674
43	gcaisawesome	1672
44	tobinwilliams	1662
45	pintsizedrogue	1626
45	crashomon	1626
47	thewindmillman	1552
48	Lez_	1494
49	Tobinator_007	1464
49	Airem_Core	1464
51	Groovy_MoonBird	1438
52	Ezekson	1416
53	Cowison	1404
54	Winklepicker279	1388
55	Inchef	1354
56	HellsSponge	1347
57	Druid95	1344
58	Blackberry1310	1324
59	Skippeh	1304
60	ProbablyNick	1302
61	Sral7	1266
62	Chromary	1194
63	Eczbek	1188
64	ConnorDanky_	1182
65	U_Mos_	1170
66	Inbefour	1168
67	SmashingPump	1164
68	Archsam	1140
69	Russiancat1	1126
70	r123moore	1119
71	RoskobiOne	1104
72	oscminus	1092
73	Bumpy419	1090
74	ImpavidArcher	1068
74	Werbe	1068
76	h2p_emrld	1062
77	Yamdalorian	1044
78	ibarker21	1014
79	taengoos	1002
80	NomadicRobin_	990
81	Cortexia	966
82	XxCookiequeenxX	960
83	jnp_gaming	948
84	Napoleonpancake	924
85	Spacewardharpy7	906
86	djancak	900
87	Smashic	888
87	Rumpletaezer	888
87	FreakGenius	888
87	SvenskaHugo	888
91	2Stout	876
92	IamCL4SSY	864
92	PortlyPete69	864
94	Legendosh	858
95	PigDab	852
96	_Karmaa	846
96	ZoomieZoomie	846
98	diamondgolem35	822
98	Enderxz3	822
100	M_Patata	816
100	MasterNueve	816
102	Fullut	810
103	_Huge_Male_	804
104	xxPipperDipperxx	798
104	yheece	798
106	_Razaria	786
107	Tiberonus	768
108	Alteriity	766
109	KarlKaek	756
109	m_be9	756
111	SpacesickPrism	736
112	Barlycorn	732
113	MrExplorer	720
113	tsitrawhy	720
115	TheWickedBird	702
116	Rich_Kat	696
117	Sorry_Arey	684
118	TheKingK_	682
119	Jackattack53	678
120	purpolepickle	672
121	NameGenerat0r	654
122	Akoot_	642
123	Natty	636
123	miramyu	636
125	Nicserso	632
126	StinkyDiplomat	630
127	Soplight	624
128	theofiel	618
129	_Dean_123	606
130	Jakobo1337	600
130	2blox_	600
132	Karetoko	588
132	RobotMinion101	588
134	ProfessorBee	582
134	fragrantmonke444	582
136	Huwulling	576
136	SDMNAEK	576
138	CalebDHawk	570
139	Jij0	558
140	PazinGaming	546
140	LeauVox4921	546
142	Spenduh	540
143	fffMike	534
143	Biites	534
145	lorywithay	528
145	AnnieBathory	528
147	Mr_Byzantine	522
147	AngalexikCZ	522
147	Awyrlas	522
150	Touched_Bread	513
151	Shogunite	510
152	cichy096	504
153	prizm_	498
153	parodypatient	498
155	Olib3ar	492
156	excelsionprime	486
157	Bandito_Roamer	480
157	thescout7	480
159	drunkeeez	462
159	brycepants	462
161	Incinere	460
162	Motsaro	450
163	CoffeeNoir	438
164	KingMatthew506	423
165	Leyna3	420
166	El_Jalapeno	414
166	wwwwinnebagoooo	414
168	AlexxO_o	408
168	Deathkob	408
170	Hiryu27	402
171	benediktine1	396
171	KeruNatsema	396
173	olliebollie48	390
174	MinttyFressh	384
174	emrekn	384
174	NormanFetus	384
174	420BreadLizard	384
