rank	username	minecraft:crafted/minecraft:acacia_stairs
1	beeperbeeper5	5012
2	Smoke____	868
3	KarlKaek	784
4	himak1	528
5	Meatlaugh	428
6	xX_Stalin69_Xx	368
7	Franco093	336
8	Hoid_the_Roamer	268
9	TheShyPig	208
10	Werbe	204
11	mariominejedi	184
12	ProfessorBee	142
13	AgressiveEggdog	136
13	ProfessorDiaper	136
15	Winklepicker279	132
16	Bandito_Roamer	128
17	EveryonesUncle	124
18	Zaridey	120
19	mawileite	108
20	Blackberry1310	96
20	Freak_Genius	96
20	Steelynan	96
23	EMC_	92
23	kekhon	92
23	Doom_melon	92
23	El_Jalapeno	92
27	Soplight	84
27	Lowjinx	84
29	Merv__	80
29	Marbz_	80
29	TheSeismicDuck	80
32	jewbacaman	76
33	Inchef	72
34	ImpavidArcher	68
34	2Stout	68
34	Di_infiri	68
37	BlueZabu	60
37	EcksDofficial	60
39	Groovy_MoonBird	56
39	Mr_Byzantine	56
39	xXTheWolfmanXx	56
39	eitanzaki	56
39	TheSecondLord	56
39	Barlycorn	56
45	Zedducius	52
45	KlausVonStiglitz	52
47	HellsSponge	50
48	r123moore	48
48	Chuvacevedo	48
48	SammiWolfGirl	48
51	nocturne78	44
51	Inbefour	44
53	500am	40
53	AnnieBathory	40
55	youhjjhhhjj	36
55	thgrocks	36
55	Enderslayerxz3	36
58	PhantomsGhost_	32
58	MakeHistory157	32
58	starbits140	32
58	YoshikageBites	32
62	pintsizedrogue	28
63	Mahoose	24
63	MeanTugger	24
63	SvenskaHugo	24
63	Ezekson	24
67	Notta	20
67	Onennon	20
67	Frozil12	20
67	DennyKai	20
71	Fullut	16
71	Arceus1975	16
71	Snowflowe	16
71	TJawesome09	16
71	twinkel_star24	16
71	Racengan	16
71	YungMaki	16
71	Chayula	16
71	MineMaster0012	16
71	PortlyPete69	16
81	funeralhome	12
81	Ilinca_Io	12
81	Hpdinosaur	12
81	rpmm	12
81	Ecplosive	12
81	MyNameIsJobo	12
81	Jackattack53	12
81	AJplaysMC_	12
81	KartivGal	12
81	olek_kosa2009pvp	12
81	560cool	12
81	Blaiku	12
81	Toriankel	12
81	Soul_Atreus	12
81	stellarjay	12
81	bitsplease	12
81	smogfrog	12
81	TechnoNinja64	12
81	Sral7	12
100	peach0s	8
100	Fractured_	8
100	jushykins	8
100	bloodbiter	8
100	xxPipperDipperxx	8
100	thewindmillman	8
100	ApophisNova	8
100	wrinkledpiglet	8
100	duqboy	8
100	FlashMigma	8
100	Groundler	8
100	Dusk_95	8
100	MyNamaSheff	8
100	kinas45y5	8
114	dimondking777	4
114	Ozixar	4
114	dopplexd	4
114	titanlax	4
114	Scathra	4
114	SLASHZEERA	4
114	loveseeker	4
114	SuperPooch06	4
114	eSpawNa	4
114	Lord_Jord	4
114	_Karmaa	4
114	DeGodz4life	4
114	Soffbord	4
114	561cool	4
128	Factoroni	2
128	sp00ky_ghost977	2
