rank	username	minecraft:crafted/minecraft:red_candle
1	Kowcio_	260
2	Kakolbus	219
3	k_ce	170
4	TheSecondLord	119
5	xxPipperDipperxx	89
6	Luminad3	64
7	Lez_	54
8	excelsionprime	53
9	_witch_craft_	49
10	Yamdalorian	45
11	beeperbeeper5	32
12	YungMaki	23
13	Legendosh	22
14	Snowflowe	20
15	Mr_Byzantine	15
16	Enderxz3	14
17	Mahoose	13
17	Soplight	13
17	Jimb0nat0r	13
20	shineh10	11
21	pintsizedrogue	9
22	Pumpkin_P_Patch	8
23	Merv__	7
24	500am	6
25	Marbz_	5
26	drunkeeez	3
26	Myntsys	3
26	PlasticOtari	3
29	Crowman1	1
29	thewindmillman	1
29	PaperCanvas	1
29	Spacewardharpy7	1
