rank	username	minecraft:crafted/minecraft:nether_wart_block
1	TheSecondLord	921
2	ApophisNova	490
2	MyNamaSheff	490
4	YungMaki	409
5	TheShyPig	352
6	eiC_	341
7	EMC_	328
8	Smoke____	218
9	noam464	143
10	Karbl	119
11	beeperbeeper5	100
12	kekhon	64
13	ooga47	44
14	EcksD	39
15	fr_ser	28
15	The_slideV3	28
15	Quaintster	28
18	fkGrim	19
19	Merv__	14
19	SuperPooch06	14
19	TheOnlyRake	14
22	Di_infiri	12
23	EveryonesUncle	9
24	ProfessorBee	7
24	himak1	7
26	egglapras	6
27	RodSerlingCringe	5
28	ItzWqlfy	4
29	bloodbiter	2
29	ROY4LE	2
31	Arceus1975	1
31	claivin	1
31	Xclax101	1
31	Sheldor097	1
31	mobunni	1
31	Lowjinx	1
