rank	username	minecraft:crafted/minecraft:andesite
1	PazinGaming	22328
2	EveryonesUncle	6416
3	Alteriity	6144
4	TechnoNinja64	5410
5	ApophisNova	5060
5	MyNamaSheff	5060
7	Kowcio_	4480
8	Sleek_Storm_721	3638
9	mihimihimihi	3573
10	PlasticOtari	3520
11	Spacewardharpy7	3328
12	beeperbeeper5	3306
13	pintsizedrogue	2246
14	TheShyPig	2202
15	12Magner05	2084
16	thewindmillman	1664
17	Fuad_R	1252
18	mawileite	862
19	FelixPSY375	818
20	kekhon	594
21	500am	518
22	lcvezra	444
23	Xalithia	326
24	DermeinUser	294
25	soundad	256
25	6king6colt6	256
25	Winklepicker279	256
28	Simon_Lowell	224
29	Kijiki	213
30	Chaotic1s	212
31	himak1	170
32	Groundler	168
32	IvarEXE	168
34	leaf26	128
34	Inchef	128
34	Purplehere	128
34	PortlyPete69	128
38	MineMaster0012	90
39	Mahoose	68
40	Quinasin	64
41	Merv__	52
42	Onennon	44
43	PaperCanvas	42
44	joethahobo	38
45	UCP_TheKingK	32
46	Hiryu27	30
47	TheEnderMan548	28
48	Frozil20	26
49	xolstoi	22
50	Luminad3	12
50	Maenara	12
52	Krimys	10
53	Tommhh	8
53	fluddd	8
53	laron58	8
53	AdmiralSmoke	8
57	madderfall	4
57	Toriankel	4
57	SSytex_X	4
60	ImpavidArcher	2
60	ItsHydroMC	2
