rank	username	minecraft:crafted/minecraft:deepslate
1	TheSecondLord	334
2	MinuteMira	311
3	Rebytre	302
4	AuroraSkies	247
5	PigDab	237
6	non089	236
7	teslawolf38	135
8	TheALV	134
9	xPixelRainx	129
10	Solar_Power	128
10	MineMaster0012	128
10	SpacesickPrism	128
13	PaperCanvas	104
14	mobunni	102
15	Moofyman	76
16	thebaddruid	64
16	StinkyDiplomat	64
16	Njensen7	64
19	Mattesco	50
20	Mr_Byzantine	40
21	Manaateee	37
22	Nycteus_	25
23	thewindmillman	23
24	Winklepicker279	21
24	Wowful	21
26	olliebollie48	20
27	lorywithay	16
27	UMosDiesIrae	16
29	smarticuno	15
29	Buuck_	15
31	fluddd	10
32	SpicyDuckMan	9
33	RoskobiOne	8
33	AlexxO_o	8
33	00000000-0000-0000-0009-01ff0c3e5e4f	8
36	MAns_44	7
37	JETrotter	6
38	Touched_Bread	4
38	_Boipl_	4
38	Lord_Doob	4
41	PazinGaming	3
41	Raspberry_Sodas	3
43	Malware_Mara	2
43	RadarHz	2
45	TheDankPlatypus	1
45	ApophisNova	1
45	Dan_Scha	1
45	Yahir091	1
45	starbits140	1
45	MyNamaSheff	1
45	calamariclam_I	1
