rank	username	minecraft:crafted/minecraft:amethyst_block
1	RebelAndroid	1514
2	ScootOfBoot	317
3	noam464	296
4	luseis	192
5	TheSecondLord	184
6	MilleGrug	143
7	PazinGaming	128
7	YungMaki	128
9	SpacesickPrism	126
10	hanaryheatwave	61
11	Nicserso	49
12	Sleepy_Time_	47
13	lizardfightclub	38
14	00000000-0000-0000-0009-01ff0c3e5e4f	30
15	lunathelemon	29
16	_i_ERROR_i_	25
17	ZeroAbyssTTV	24
18	Groovy_MoonBird	16
18	_stets	16
20	EcksD	8
21	Lez_	6
22	mobunni	5
23	thewindmillman	4
24	lorpus	3
24	djancak	3
26	eitanzaki	2
26	Hyp3rion_	2
26	SvenskaHugo	2
29	Fullut	1
29	2Stout	1
29	smarticuno	1
29	Deathkob	1
