rank	username	minecraft:crafted/minecraft:yellow_banner
1	Soplight	835
2	WyngGoy	176
3	beeperbeeper5	67
4	Lord_Jord	63
5	Groovy_MoonBird	24
6	Werbe	22
7	LilyNova	21
8	EveryonesUncle	20
9	noam464	18
10	KomputerDude	13
11	TheShyPig	12
12	12Magner05	10
13	starbits140	9
13	oxfordschool	9
15	MattieHD	8
15	Legendosh	8
17	Fullut	6
18	Hoid_the_Roamer	5
18	Skylord_Luke	5
18	fluddd	5
21	_Bguette_	4
21	Groundler	4
23	Bandito_Roamer	3
23	Historical_Sand	3
23	Snowflowe	3
23	HellsSponge	3
23	Xclax101	3
28	Merv__	2
28	Mahoose	2
28	titanlax	2
28	Blackberry1310	2
28	_Dean_123	2
28	500am	2
28	NomadicRobin_	2
35	pintsizedrogue	1
35	Cowison	1
35	Sleek_Storm_721	1
35	InfernalMound	1
35	m_be9	1
35	Ecplosive	1
35	mariominejedi	1
35	whoaluv	1
35	Arceus1975	1
35	thewindmillman	1
35	RodSerlingCringe	1
35	Jiminie	1
35	Spacewardharpy7	1
