rank	username	minecraft:crafted/minecraft:blue_shulker_box
1	thewindmillman	406
2	Shogunite	140
3	HellsSponge	81
4	kekhon	51
5	Blaiku	49
6	Hyp3rion_	27
7	Snowflowe	22
8	set67	18
8	Spenduh	18
8	jnp_gaming	18
11	mwrty	17
12	pintsizedrogue	16
13	fred870d	14
13	fluddd	14
13	__tomato	14
16	Nicserso	13
17	PlasticOtari	12
18	lordpipe	10
19	Bumpy419	9
20	_Virify_	8
20	Winklepicker279	8
20	Ezekson	8
23	prizm_	7
23	YungMaki	7
25	beeperbeeper5	6
25	TheSecondLord	6
25	ayamefag	6
28	TheDankPlatypus	5
28	NomadicRobin_	5
28	EcksD	5
28	Enderslayerxz3	5
32	Mahoose	4
32	H72l9w	4
32	MattieHD	4
32	surfinggiraffejp	4
32	sp00ky_ghost977	4
32	Optiprimus	4
38	Merv__	3
38	ImpavidArcher	3
38	SaucyDark	3
38	Myszoaz	3
38	_Nuf	3
38	fade_emerge78823	3
38	fr_ser	3
38	EveryonesUncle	3
38	Deathkob	3
38	lillips	3
38	Xclax101	3
38	DeGodz4life	3
38	Spacewardharpy7	3
38	oxfordschool	3
38	kinas45y5	3
53	soundad	2
53	ssleepless	2
53	12Magner05	2
53	shyshyannne	2
53	SteveCraftBlocks	2
53	500am	2
53	Fullut	2
53	thescout7	2
53	Awyrlas	2
53	LotusProject	2
53	Covalents	2
53	XboxPanda	2
53	mariominejedi	2
53	Marbz_	2
53	Jackattack53	2
53	Rumpletaezer	2
53	ClemenPine	2
53	Sky_light_KING	2
53	audiocracked	2
53	DarlaMeow	2
53	claivin	2
53	Quaintster	2
53	MAns_44	2
53	Blu3beast	2
53	Nycteus_	2
53	Groundler	2
53	Warlord324	2
53	Hisiste	2
53	WyngGoy	2
53	voiding_	2
53	pixelviolin	2
53	Skippeh	2
85	Jovaphobic	1
85	Groovy_MoonBird	1
85	Bandito_Roamer	1
85	nataliecool	1
85	PhantomsGhost_	1
85	JEWISHBadenBeele	1
85	Ailmast	1
85	teslawolf38	1
85	Sleek_Storm_721	1
85	KarlKaek	1
85	ExtraDumb	1
85	TooManyDuck	1
85	Hpdinosaur	1
85	livingdaydreams	1
85	T045RTY	1
85	TAKrules	1
85	NinjaKnifeKill	1
85	MSK__	1
85	joethahobo	1
85	fr0stss	1
85	Historical_Sand	1
85	IWorkAtIkea	1
85	rarrq	1
85	Euclidoris	1
85	Sparky_KT	1
85	Shadoko_	1
85	titanlax	1
85	Blackberry1310	1
85	jushykins	1
85	Rich_Kat	1
85	Nostrom	1
85	ProfessorBee	1
85	Megarboh	1
85	TheDiamondCG	1
85	redikul	1
85	Smashic	1
85	Z3braYTIL	1
85	Nach0Bear	1
85	emrekn	1
85	Inchef	1
85	eviltunix	1
85	Xalithia	1
85	SellyZ	1
85	gcaisawesome	1
85	r123moore	1
85	noam464	1
85	SeverianTheLame	1
85	Zaridey	1
85	Ecplosive	1
85	CollinMH06	1
85	nitram49b	1
85	MyNameIsJobo	1
85	Chromary	1
85	Zythose	1
85	King_Pancake1	1
85	_8man	1
85	MangoTheFish	1
85	pappaberg	1
85	Voxin2K	1
85	cedric72	1
85	sammidk	1
85	FishyBoy3811	1
85	HolyVenom	1
85	Maenara	1
85	Akoot_	1
85	Lord_Jord	1
85	wezzzi	1
85	KnightmareD	1
85	bpmm	1
85	TheSeismicDuck	1
85	masskedman	1
85	DTwenty	1
85	Syropatathe	1
85	Jiminie	1
85	Fuhrer_Teemo	1
85	The_Quack_Dealer	1
85	Lutres_Torane	1
85	chipklip	1
85	1442	1
85	_Karmaa	1
85	RoBe__	1
85	NameGenerat0r	1
85	censorsheep	1
85	Th6masss	1
85	ProfessorDiaper	1
85	Typadopoulos	1
85	Airem_Core	1
85	ElKaySVK	1
85	TheTommyGun63	1
85	OG_Songsee	1
85	Cocoamallows	1
85	Razzgriz	1
85	SexcMf	1
85	Meeerkat	1
85	07shiny	1
85	IdeallyGrey	1
85	yatsuta	1
85	Kowcio_	1
85	Segotep999	1
85	brofrickcheaters	1
85	tsitrawhy	1
85	Juh1s	1
85	Fizznut909	1
85	stahouo	1
85	GlitchyPlate810	1
85	obzii	1
85	jcool7	1
85	Dreamdbr14	1
85	striker90333	1
85	Njensen7	1
85	KingMatthew506	1
85	Steelynan	1
85	Eczbek	1
85	Kubeusz2010	1
85	anbbang	1
85	Miko_Fullbuster	1
85	FelixPSY375	1
85	AltnumberF4	1
85	HesDemonPants	1
85	Powowowow	1
85	vandmanden	1
85	TechnoNinja64	1
85	Sral7	1
85	JayToe	1
85	Smoke____	1
85	_Dri_	1
85	diggydog67	1
