rank	username	minecraft:crafted/minecraft:furnace_minecart
1	pintsizedrogue	106
2	eitanzaki	96
3	Soplight	90
4	Hermanni__	43
5	Werbe	27
5	Fuad_R	27
7	2Stout	26
8	Mahoose	21
9	noam464	15
10	thewindmillman	11
11	IAmTheWalrus910	10
12	Groundler	9
12	Enderxz3	9
14	PortlyPete69	7
15	Racengan	6
15	Eraxa	6
15	SvenskaHugo	6
15	Legendosh	6
19	MattieHD	5
19	Chromary	5
19	Arceus1975	5
19	AdmiralSmoke	5
23	Mr_Byzantine	4
23	Blaiku	4
23	Barlycorn	4
23	ConnorDanky_	4
27	SteveCraftBlocks	3
27	mihimihimihi	3
27	obzii	3
30	ImpavidArcher	2
30	Fullut	2
30	RustyKedel	2
30	Soul_Atreus	2
30	EcksD	2
30	Quotary	2
36	No_Bena	1
36	PhantomsGhost_	1
36	soundad	1
36	ECstardust	1
36	ShedJr_	1
36	Nicky_H225	1
36	CollinMH06	1
36	MyNameIsJobo	1
36	Snowflowe	1
36	luseis	1
36	Blu3beast	1
36	Nycteus_	1
36	GravitySaint	1
36	_i_ERROR_i_	1
