rank	username	minecraft:crafted/minecraft:ender_eye
1	Hyp3rion_	2210
2	pintsizedrogue	1829
3	AdmiralSmoke	1780
4	PigDab	1105
5	xxPipperDipperxx	887
6	thewindmillman	765
7	lordpipe	338
8	Mahoose	285
9	SvenskaHugo	256
10	EveryonesUncle	246
11	Spacewardharpy7	228
12	Segotep999	226
13	Jackattack53	199
14	r123moore	197
15	TheSecondLord	191
16	thescout7	183
17	Lez_	166
18	SmashingPump	158
19	500am	155
20	12Magner05	150
20	Tyrannosplart	150
22	noam464	147
22	HellsSponge	147
24	PlasticOtari	141
25	IamCL4SSY	136
26	NomadicRobin_	135
27	beeperbeeper5	130
28	Kkanot	128
28	HolyVenom	128
30	YungMaki	127
31	Winston_Ingram	124
32	luseis	121
33	Smashic	104
34	Cocoamallows	102
35	eitanzaki	96
36	FreakGenius	94
37	oscminus	90
37	claivin	90
39	Di_infiri	84
39	pixelviolin	84
39	AssFullaCum	84
42	Inchef	80
43	Zythose	76
44	jnp_gaming	75
45	Iamthejo	73
46	Onennon	72
47	Chromary	68
47	F_Uhre	68
47	alderban107	68
50	audiocracked	66
51	xzvu	65
52	chipklip	64
52	Huwulling	64
52	Prismyst	64
52	hanaryheatwave	64
52	Bumpy419	64
52	MineMaster0012	64
58	_Virify_	59
58	joethahobo	59
60	PhantomsGhost_	51
61	Hermanni__	50
61	Enderxz3	50
63	ECstardust	48
63	MyNameIsJobo	48
65	Maenara	47
66	livingdaydreams	46
67	Ryan_GEMS	44
67	EcksD	44
69	6king6colt6	43
70	diamondgolem35	41
70	RebelAndroid	41
70	diggydog67	41
73	Fullut	40
73	mwrty	40
75	Groundler	39
76	pappaberg	38
77	Apollo_993	36
77	yheece	36
79	kekhon	35
80	lotarp	34
80	Blackberry1310	34
80	BobDeBouwer1337	34
80	ApophisNova	34
80	MyNamaSheff	34
85	TheShyPig	33
85	SingedBread	33
87	SaintJosie	32
87	Nycteus_	32
87	ItsDeltaMC	32
90	Historical_Sand	31
90	censorsheep	31
90	TechnoNinja64	31
93	fluddd	30
94	bloodbiter	29
94	SoftSix	29
94	vandmanden	29
97	Frozil20	28
97	TooManyDuck	28
97	Ezekson	28
100	Agent108	27
101	AlazelTheReal	26
101	lorpus	26
101	Lord_Jord	26
104	Manaateee	25
104	Soap_Bender	25
106	Elastiq	24
106	Gab4101	24
106	TheSeismicDuck	24
106	Gryglu583	24
110	Merv__	23
110	rarrq	23
110	m_be9	23
110	Blaiku	23
110	33sudo	23
110	Eraxa	23
116	ProbsNotNova	22
117	k_ce	21
117	EngagedGrub41	21
119	excelsionprime	20
119	stavgod	20
119	h2p_emrld	20
122	WyngGoy	19
122	skrongus	19
124	Rumpletaezer	18
124	wezzzi	18
124	Steelynan	18
127	King_Pancake1	17
127	Rasmanden	17
127	MightyWertu	17
127	Kowcio_	17
131	Harotio	16
131	AgressiveEggdog	16
131	_lildarki3	16
131	gcaisawesome	16
131	iSammael	16
131	sp00ky_ghost977	16
131	anbbang	16
131	MirielThePastor	16
131	Jimb0nat0r	16
140	Euclidoris	15
140	crying_wolf_13	15
140	Snowflowe	15
140	Blu3beast	15
140	Soplight	15
140	Luigipunch989	15
140	PortlyPete69	15
140	ConnorDanky_	15
148	CarsonDoesMine	14
148	KomputerDude	14
148	SpaceGrenadier	14
148	Zaridey	14
148	Skippeh	14
153	I_Am_Mushkin	13
153	MattieHD	13
153	Marbz_	13
153	jcool7	13
157	JohnnyFyes	12
157	q_wq	12
157	Flores991	12
157	Alteriity	12
157	epiksk8erduck	12
157	LexMakesHistory	12
157	striker90333	12
164	FirsTimeGamingTV	11
165	Groovy_MoonBird	10
165	BPTY4618	10
165	EMC_	10
165	MinttyFressh	10
165	Guillemet	10
165	ROY4LE	10
165	Mattesco	10
172	teslawolf38	9
172	H72l9w	9
172	Xalithia	9
172	XboxPanda	9
172	Deathkob	9
172	_Karmaa	9
178	Crowman1	8
178	Nach0Bear	8
178	Covalents	8
178	Akoot_	8
178	masskedman	8
178	NameGenerat0r	8
178	Dogcorn69420	8
185	gaziter10	7
185	BilboBaggins23	7
185	Winklepicker279	7
185	fkGrim	7
189	SaltineDream	6
189	CLG_Kata	6
189	ITDV	6
189	__TheNorseMan__	6
189	Kakolbus	6
189	J4k__	6
189	fw3xy74	6
189	MakeHistory157	6
189	FelixPSY375	6
189	calamariclam_I	6
189	JayToe	6
200	Vizzoid	5
200	Secret_Canary	5
200	eiC_	5
200	xDraggin	5
200	BumbleBeever	5
200	Hisiste	5
200	UCP_TheKingK	5
200	Legendosh	5
208	Bandito_Roamer	4
208	RoskobiOne	4
208	CoffeeNoir	4
208	Myszoaz	4
208	Malorn_Aetherius	4
208	mattybeewrapss	4
208	hcb238	4
208	Bazongoman	4
208	mariominejedi	4
208	Arceus1975	4
208	Donutt	4
208	Rebytre	4
208	ougstur	4
208	FishyBoy3811	4
208	handsome_strong	4
208	GoofyBread	4
208	Quincannon	4
208	Airem_Core	4
208	Factoroni	4
208	radioactv_jelly	4
208	OG_Songsee	4
208	Razzgriz	4
208	voiding_	4
208	07shiny	4
208	ediballbearings	4
208	PlzNoBM	4
208	MilleGrug	4
208	Kubeusz2010	4
208	Quotary	4
237	ssleepless	3
237	Hpdinosaur	3
237	T045RTY	3
237	MoistMicrowave	3
237	set67	3
237	TheDankPlatypus	3
237	fallingemma	3
237	shadowthemonkey	3
237	LAVA129	3
237	RobotMinion101	3
237	TheTrueClipse	3
237	AlphaWolfPlaysMC	3
237	SwooshBoi	3
237	Typadopoulos	3
237	ReyTheLegend	3
237	_TCARREIRA_	3
237	obzii	3
237	Njensen7	3
237	AltnumberF4	3
256	RosaDoesMC	2
256	Lepthymo	2
256	AuroraValkyrie	2
256	Hyugo	2
256	ExtraDumb	2
256	ImpavidArcher	2
256	Incinere	2
256	jimintyy	2
256	stevewithclout	2
256	Sparky_KT	2
256	Comma__	2
256	TheRealGameBoy24	2
256	Cortexia	2
256	Megarboh	2
256	Awyrlas	2
256	Bobby808	2
256	PegLegPete93	2
256	surfinggiraffejp	2
256	SharpDev	2
256	SellyZ	2
256	Stiar	2
256	M_Patata	2
256	SeverianOfUrth	2
256	legal_tax_evader	2
256	_8man	2
256	Hoid_the_Roamer	2
256	BronkerBrum	2
256	ItsAki_	2
256	Kouridragon	2
256	KartivGal	2
256	MinerDec	2
256	HeraclesOGU	2
256	ClemenPine	2
256	_Crimson_Legate	2
256	SpouHn	2
256	DTwenty	2
256	Jiminbub	2
256	Deodorante	2
256	Karbl	2
256	ebanana	2
256	1442	2
256	Xclax101	2
256	_Meow_Mix	2
256	monky_irl	2
256	MasterNueve	2
