rank	username	minecraft:crafted/minecraft:black_stained_glass_pane
1	joethahobo	18224
2	Lez_	11072
3	Franco093	7504
4	beeperbeeper5	6864
5	Mahoose	6432
6	RebelAndroid	3200
7	500am	2448
8	pixelviolin	1816
9	iSammael	1632
10	Spacewardharpy7	1520
11	titanlax	1408
12	teslawolf38	1264
13	YungMaki	1136
14	burbankbuilder28	976
15	Eczbox	832
15	Eczbek	832
17	RoskobiOne	816
18	_Karmaa	808
19	pintsizedrogue	800
20	Xalithia	784
21	Ssor69	728
22	I_Am_Mushkin	704
23	12Magner05	688
24	Rich_Kat	608
25	FreakGenius	544
25	mihimihimihi	544
27	valkam13	472
28	Snowflowe	464
28	NameGenerat0r	464
28	Eraxa	464
31	Frozil20	400
32	TheSecondLord	384
33	Steelynan	376
34	EMC_	352
35	TheShyPig	304
35	jnp_gaming	304
37	El_Jalapeno	272
38	Apollo_993	256
39	lcvezra	248
40	olliebollie48	240
41	MunkaKris	224
41	DTwenty	224
41	tsitrawhy	224
44	k_ce	208
44	Hyp3rion_	208
44	Mattesco	208
47	Syropatathe	192
47	Blaiku	192
49	Merv__	176
49	SaucyDark	176
51	ROY4LE	173
52	kekhon	160
52	xxPipperDipperxx	160
52	cedric72	160
52	lillips	160
52	SingedBread	160
57	livingdaydreams	144
57	jushykins	144
57	Marbz_	144
57	fr_ser	144
57	MakeHistory157	144
62	AJplaysMC_	128
62	MightyWertu	128
62	mobunni	128
65	Matyyy15	112
65	audiocracked	112
65	Manaateee	112
65	IvarEXE	112
65	AltnumberF4	112
70	NieToksikpl	96
70	Zythose	96
70	EveryonesUncle	96
70	AssFullaCum	96
70	fffMike	96
70	skrongus	96
76	Groovy_MoonBird	80
76	6king6colt6	80
76	ssleepless	80
76	Jonafrog99	80
76	fkGrim	80
76	ReflexCode	80
76	EcksD	80
83	diamondgolem35	64
83	ShedJr_	64
83	Historical_Sand	64
83	rarrq	64
83	Blackberry1310	64
83	BobDeBouwer1337	64
83	benediktine1	64
83	Werbe	64
83	Akoot_	64
83	Deathkob	64
83	xolstoi	64
94	jessewegottacook	56
94	SvenskaHugo	56
96	Jackattack53	48
96	MAns_44	48
98	noam464	40
98	drunkeeez	40
98	AnnieBathory	40
101	eitanzaki	32
101	PegLegPete93	32
101	Avrelion	32
101	Rumpletaezer	32
101	Hiryu27	32
101	Onennon	32
101	Vetral1	32
101	Groundler	32
101	Kowcio_	32
101	ZoomieZoomie	32
101	Nicserso	32
112	_Huge_Male_	24
112	Voxin2K	24
114	q_wq	16
114	Hyugo	16
114	ImpavidArcher	16
114	Huwulling	16
114	MoistMicrowave	16
114	Notta	16
114	CliffEmAll	16
114	SteveCraftBlocks	16
114	Smashic	16
114	UncreativeArtist	16
114	Motsaro	16
114	theonlymagikarp	16
114	ImDisconnected_	16
114	Aneurysmas	16
114	Rebytre	16
114	KliBeast21	16
114	Maenara	16
114	LeonelSalamanca	16
114	HellsSponge	16
114	RedcatVII	16
114	Toriankel	16
114	lordpipe	16
114	sp00ky_ghost977	16
114	Ma_name_alex	16
114	starbits140	16
114	Kubeusz2010	16
114	Enderxz3	16
141	IgnoredBee	8
141	TinMaster	8
141	thescout7	8
141	luseis	8
141	Avocadogerms	8
141	marumochis	8
141	THEKINGLyric10	8
