rank	username	minecraft:crafted/minecraft:orange_carpet
1	YungMaki	42364
2	joethahobo	13399
3	Kowcio_	8079
4	crashomon	7113
5	beeperbeeper5	6171
6	Mattesco	5482
7	Quaintster	5279
8	thewindmillman	5196
9	MattieHD	5184
10	Crowman1	4554
11	Huwulling	3939
12	Rumpletaezer	3523
13	TheSecondLord	2388
14	Lez_	2307
15	Spacewardharpy7	2175
16	luseis	1281
17	pintsizedrogue	855
18	FreakGenius	716
19	Yamdalorian	705
20	bl1ss0	678
20	Legendosh	678
22	SkateboardR6	669
23	hermmm_	631
24	skitzxo	624
25	EcksD	387
26	_Virify_	384
26	QuiCreans	384
26	heckface	384
29	Manaateee	339
30	MakeHistory157	291
31	Creativebuilder2	288
31	KingMatthew506	288
33	HellsSponge	228
34	Lord_Jord	210
35	mwrty	201
36	Cowison	192
36	12Magner05	192
38	noam464	150
39	Blackberry1310	138
40	Niklas20114552	126
41	lordpipe	111
42	PigDab	99
43	Frozil20	96
43	RebelAndroid	96
43	MoistMicrowave	96
43	Swexti	96
43	Cocoamallows	96
43	TheKingK_	96
43	Quotary	96
50	Pumpkin_P_Patch	93
51	_i_ERROR_i_	78
52	TechnoNinja64	66
53	obzii	60
54	RoskobiOne	57
54	Alteriity	57
54	kekhon	57
57	Di_infiri	48
57	Njensen7	48
57	Sral7	48
60	Inbefour	45
61	420BreadLizard	44
62	Werbe	42
63	PortlyPete69	35
64	PlasticOtari	33
65	500am	30
65	Enderxz3	30
67	pixelviolin	27
67	CattSoup	27
69	wezzzi	24
70	Chromary	21
71	Mr_Byzantine	18
71	SaucyDark	18
71	Onennon	18
71	Buuck_	18
75	Jokerman369	15
75	FishyBoy3811	15
75	Maenara	15
75	Groundler	15
75	Steelynan	15
80	Sleek_Storm_721	12
80	Reamdin	12
80	Mahoose	12
80	Hoid_the_Roamer	12
80	miramyu	12
85	InfernalMound	9
85	Fullut	9
85	The_Fulgurator	9
85	ConnorDanky_	9
89	xxPipperDipperxx	8
90	Tommhh	6
90	ImpavidArcher	6
90	NomadicRobin_	6
90	EveryonesUncle	6
90	RoBe__	6
95	EMC_	3
95	titanlax	3
95	Torza	3
95	Zaridey	3
95	Hyp3rion_	3
95	SvenskaSara	3
95	Meatlaugh	3
95	pretty_pink_reno	3
95	Blaiku	3
95	lunkuku	3
95	FiguraDei	3
