rank	username	minecraft:crafted/minecraft:stripped_oak_wood
1	Zythose	327
2	Werbe	213
3	Blackberry1310	51
3	MattieHD	51
5	oscminus	36
6	Hyp3rion_	24
7	Spenduh	21
8	EMC_	18
8	rarrq	18
8	Kowcio_	18
11	Merv__	15
11	cheerytomato	15
11	noam464	15
11	SpacesickPrism	15
15	Whiterooster001	9
15	EveryonesUncle	9
17	pintsizedrogue	6
17	Mahoose	6
17	Lord_Jord	6
17	luseis	6
17	Steelynan	6
17	Enderxz3	6
23	PazinGaming	3
23	T045RTY	3
23	Huwulling	3
23	kekhon	3
23	GLLogan2	3
23	Skylord_Luke	3
23	Moofyman	3
23	Deathkob	3
23	HellsSponge	3
23	Spacewardharpy7	3
23	pixelviolin	3
